Unnamed: 0,timestamp,cadence,heart_rate,time
5,1711054176,0.0,0.0,0
6,1711054177,0.0,0.0,1
7,1711054178,0.0,0.0,2
8,1711054179,0.0,0.0,3
9,1711054180,0.0,0.0,4
10,1711054181,0.0,0.0,5
11,1711054182,0.0,0.0,6
12,1711054183,0.0,0.0,7
13,1711054184,0.0,0.0,8
14,1711054185,0.0,0.0,9
15,1711054186,0.0,133.0,10
16,1711054187,0.0,133.0,11
17,1711054188,0.0,132.0,12
18,1711054189,0.0,132.0,13
19,1711054190,0.0,132.0,14
20,1711054191,0.0,131.0,15
21,1711054192,0.0,131.0,16
22,1711054193,0.0,130.0,17
23,1711054194,0.0,129.0,18
24,1711054195,0.0,129.0,19
25,1711054196,0.0,129.0,20
26,1711054197,0.0,128.0,21
27,1711054198,0.0,127.0,22
28,1711054199,0.0,126.0,23
29,1711054200,0.0,126.0,24
