Unnamed: 0,timestamp,cadence,gct,heart_rate,time
0,1710357605,0,0,119,0
1,1710357606,0,0,118,1
2,1710357607,0,0,119,2
3,1710357608,0,0,118,3
4,1710357609,0,0,118,4
5,1710357610,0,0,118,5
6,1710357611,0,0,117,6
7,1710357612,0,0,116,7
8,1710357613,0,0,116,8
9,1710357614,0,0,115,9
10,1710357615,0,0,114,10
11,1710357616,0,0,114,11
12,1710357617,0,0,114,12
13,1710357618,0,0,114,13
14,1710357619,0,0,114,14
15,1710357620,0,0,114,15
16,1710357621,0,0,114,16
17,1710357622,0,0,113,17
18,1710357623,0,0,113,18
19,1710357624,0,0,113,19
20,1710357625,0,0,113,20
21,1710357626,0,0,112,21
22,1710357627,0,0,111,22
23,1710357628,0,0,111,23
24,1710357629,0,0,111,24
25,1710357630,0,0,110,25
26,1710357631,0,0,110,26
27,1710357632,0,0,110,27
28,1710357633,0,0,110,28
