Unnamed: 0,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1705637337,0,0,135.0,0.0,0
1,1705637338,0,0,135.0,0.0,1
2,1705637339,0,0,135.0,0.0,2
3,1705637340,0,0,134.0,0.0,3
4,1705637341,0,0,133.0,0.0,4
5,1705637342,0,0,133.0,0.0,5
6,1705637343,0,0,132.0,0.0,6
7,1705637344,0,0,132.0,0.0,7
8,1705637345,0,0,130.0,0.0,8
9,1705637346,0,0,130.0,0.0,9
10,1705637347,0,0,130.0,0.0,10
11,1705637348,0,0,129.0,0.0,11
12,1705637349,0,0,129.0,0.0,12
13,1705637350,0,0,129.0,0.0,13
14,1705637351,0,0,129.0,0.0,14
15,1705637352,0,0,128.0,0.0,15
16,1705637353,0,0,128.0,12.07,16
17,1705637354,0,0,126.0,12.07,17
18,1705637355,0,0,125.0,12.07,18
19,1705637356,0,0,124.0,12.07,19
20,1705637357,0,0,124.0,12.07,20
21,1705637358,0,0,123.0,12.07,21
22,1705637359,0,0,123.0,12.07,22
