Unnamed: 0,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1705635056,0,0,132.0,0.0,0
1,1705635057,0,0,131.0,0.0,1
2,1705635058,0,0,128.0,0.0,2
3,1705635070,0,0,124.0,12.1,14
4,1705635071,0,0,124.0,12.1,15
5,1705635072,0,0,123.0,12.09,16
6,1705635073,0,0,122.0,12.09,17
7,1705635074,0,0,121.0,12.09,18
8,1705635075,0,0,121.0,12.13,19
9,1705635076,0,0,121.0,12.13,20
10,1705635077,0,0,120.0,12.15,21
11,1705635078,0,0,120.0,12.15,22
12,1705635079,0,0,120.0,12.15,23
13,1705635080,0,0,120.0,12.15,24
14,1705635081,0,0,120.0,12.15,25
15,1705635082,0,0,120.0,12.15,26
16,1705635083,0,0,120.0,12.14,27
17,1705635084,0,0,120.0,12.14,28
18,1705635085,0,0,120.0,12.14,29
