Unnamed: 0,timestamp,cadence,heart_rate,time
3,1711051487,0.0,0.0,0
4,1711051488,0.0,0.0,1
5,1711051489,0.0,0.0,2
6,1711051490,0.0,0.0,3
7,1711051491,0.0,0.0,4
8,1711051492,0.0,0.0,5
9,1711051493,0.0,0.0,6
10,1711051494,0.0,0.0,7
11,1711051495,0.0,0.0,8
12,1711051496,0.0,0.0,9
13,1711051497,0.0,0.0,10
14,1711051498,0.0,0.0,11
15,1711051499,0.0,0.0,12
16,1711051500,0.0,0.0,13
17,1711051501,0.0,0.0,14
18,1711051502,0.0,88.0,15
19,1711051503,0.0,88.0,16
20,1711051504,0.0,88.0,17
21,1711051505,0.0,88.0,18
22,1711051506,0.0,88.0,19
23,1711051507,0.0,87.0,20
24,1711051508,0.0,87.0,21
25,1711051509,0.0,86.0,22
26,1711051510,0.0,85.0,23
27,1711051511,0.0,84.0,24
28,1711051512,0.0,84.0,25
29,1711051513,0.0,83.0,26
30,1711051514,0.0,82.0,27
31,1711051515,0.0,82.0,28
32,1711051516,0.0,82.0,29
33,1711051517,0.0,82.0,30
34,1711051518,0.0,83.0,31
35,1711051519,0.0,84.0,32
36,1711051520,0.0,85.0,33
37,1711051521,0.0,86.0,34
38,1711051522,0.0,86.0,35
39,1711051523,0.0,86.0,36
40,1711051524,0.0,86.0,37
41,1711051525,0.0,85.0,38
42,1711051526,0.0,85.0,39
43,1711051527,0.0,85.0,40
44,1711051528,0.0,85.0,41
45,1711051529,0.0,85.0,42
46,1711051530,0.0,85.0,43
47,1711051531,0.0,85.0,44
48,1711051532,0.0,85.0,45
49,1711051533,0.0,85.0,46
50,1711051534,0.0,86.0,47
51,1711051535,0.0,86.0,48
52,1711051536,0.0,87.0,49
53,1711051537,0.0,87.0,50
54,1711051538,0.0,88.0,51
55,1711051539,0.0,88.0,52
56,1711051540,0.0,88.0,53
57,1711051541,0.0,89.0,54
58,1711051542,0.0,89.0,55
59,1711051543,0.0,89.0,56
60,1711051544,0.0,89.0,57
61,1711051545,0.0,88.0,58
62,1711051546,0.0,86.0,59
63,1711051547,0.0,86.0,60
64,1711051548,0.0,86.0,61
65,1711051549,0.0,85.0,62
66,1711051550,0.0,85.0,63
67,1711051551,0.0,85.0,64
68,1711051552,0.0,85.0,65
69,1711051553,0.0,85.0,66
70,1711051554,0.0,85.0,67
71,1711051555,0.0,85.0,68
72,1711051556,0.0,84.0,69
73,1711051557,0.0,83.0,70
74,1711051558,0.0,82.0,71
75,1711051559,0.0,82.0,72
76,1711051560,0.0,82.0,73
77,1711051561,0.0,82.0,74
78,1711051562,0.0,82.0,75
