Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926382.35,14.338523864746094,,,,,5.85
1727926382.4,13.950164794921877,,,,,5.9
1727926382.45,12.958824157714844,,,,,5.95
1727926382.5,12.455490112304688,,,,,6.0
1727926382.55,12.036468505859377,,,,,6.05
1727926382.6,11.89849853515625,,,,,6.1
1727926382.65,11.709426879882812,,,,,6.15
1727926382.7,11.520355224609377,,,,,6.2
1727926382.75,11.277633666992188,,,,,6.25
1727926382.8,11.144775390625,,,,,6.3
1727926382.85,10.82794952392578,,,,,6.35
1727926382.9,10.597999572753906,,,,,6.4
1727926382.95,10.383384704589844,,,,,6.45
1727926383.0,10.337394714355469,,,,,6.5
1727926383.05,10.38848876953125,,,,,6.55
1727926383.1,10.46258544921875,,,,,6.6
1727926383.15,10.590339660644531,,,,,6.65
1727926383.2,10.748748779296877,,,,,6.7
1727926383.25,11.361946105957031,,,,,6.75
1727926383.3,11.990478515625,,,,,6.8
1727926383.35,12.78252410888672,,,,,6.85
1727926383.4,13.2041015625,,,,,6.9
1727926383.45,13.978263854980469,,,,,6.95
1727926383.5,14.596580505371094,,,,,7.0
1727926383.55,15.462722778320312,,,,,7.05
1727926383.6,15.817863464355469,,,,,7.1
1727926383.65,15.955833435058594,,,,,7.15
1727926383.7,15.866409301757812,,,,,7.2
1727926383.75,15.662010192871094,,,,,7.25
1727926383.8,15.554702758789062,,,,,7.3
1727926383.85,15.414176940917969,,,,,7.35
1727926383.9,15.306869506835938,,,,,7.4
1727926383.95,14.926170349121094,,,,,7.45
1727926384.0,14.532699584960938,,,,,7.5
1727926384.05,14.021697998046877,,,,,7.55
1727926384.1,13.807083129882812,,,,,7.6
1727926384.15,13.584793090820312,,,,,7.65
1727926384.2,13.487709045410156,,,,,7.7
1727926384.25,13.464714050292969,,,,,7.75
1727926384.3,13.531143188476562,,,,,7.8
1727926384.35,13.574577331542969,,,,,7.85
1727926384.4,13.457046508789062,,,,,7.9
1727926384.45,13.280754089355469,,,,,7.95
1727926384.5,13.244979858398438,,,,,8.0
1727926384.55,13.2041015625,,,,,8.05
1727926384.6,13.198989868164062,,,,,8.1
1727926384.65,13.382949829101562,,,,,8.15
1727926384.7,13.579689025878906,,,,,8.2
1727926384.75,13.893951416015623,,,,,8.25
1727926384.8,14.090682983398438,,,,,8.3
1727926384.85,14.172447204589844,,,,,8.35
1727926384.9,14.03447723388672,,,,,8.4
1727926384.95,13.620567321777344,,,,,8.45
1727926385.0,13.290969848632812,,,,,8.5
1727926385.05,12.82085418701172,,,,,8.55
1727926385.1,12.63689422607422,,,,,8.6
1727926385.15,12.583236694335938,,,,,8.65
1727926385.2,12.56024169921875,,,,,8.7
1727926385.25,12.455490112304688,,,,,8.75
1727926385.3,12.34051513671875,,,,,8.8
1727926385.35,12.125892639160156,,,,,8.85
1727926385.4,11.949600219726562,,,,,8.9
1727926385.45,11.625114440917969,,,,,8.95
1727926385.5,11.423263549804688,,,,,9.0
1727926385.55,11.213760375976562,,,,,9.05
1727926385.6,11.12688446044922,,,,,9.1
1727926385.65,11.131996154785156,,,,,9.15
1727926385.7,11.21630859375,,,,,9.2
1727926385.75,11.30828857421875,,,,,9.25
1727926385.8,11.300628662109377,,,,,9.3
1727926385.85,11.229087829589844,,,,,9.35
1727926385.9,11.119224548339844,,,,,9.4
1727926385.95,10.822845458984377,,,,,9.45
1727926386.0,10.552009582519531,,,,,9.5
1727926386.05,10.230079650878906,,,,,9.55
1727926386.1,10.20708465576172,,,,,9.6
1727926386.15,10.398712158203123,,,,,9.65
1727926386.2,10.60822296142578,,,,,9.7
1727926386.25,11.004249572753906,,,,,9.75
1727926386.3,11.246971130371094,,,,,9.8
1727926386.35,11.448814392089844,,,,,9.85
1727926386.4,11.443710327148438,,,,,9.9
1727926386.45,11.354278564453123,,,,,9.95
1727926386.5,11.331283569335938,,,,,10.0
1727926386.55,11.267410278320312,,,,,10.05
1727926386.6,11.170318603515623,,,,,10.1
1727926386.65,11.055343627929688,,,,,10.15
1727926386.7,11.042572021484377,,,,,10.2
1727926386.75,11.068122863769531,,,,,10.25
1727926386.8,11.009353637695312,,,,,10.3
