,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
9301,1709306771.05,6.257057189941406,,2.75
9302,1709306771.1,6.5304412841796875,,2.799999952316284
9303,1709306771.15,6.7884979248046875,,2.8500001430511475
9304,1709306771.2,6.883033752441406,,2.9000000953674316
9305,1709306771.25,6.701629638671875,,2.950000047683716
9306,1709306771.3,6.269828796386719,,3.0
9307,1709306771.35,5.3449249267578125,,3.049999952316284
9308,1709306771.4,4.8160400390625,,3.1000001430511475
9309,1709306771.45,4.343360900878906,,3.1500000953674316
9310,1709306771.5,4.1389617919921875,,3.200000047683716
9311,1709306771.55,3.942230224609375,,3.25
9312,1709306771.6,3.834915161132813,,3.299999952316284
9313,1709306771.65,3.615188598632813,,3.3500001430511475
9314,1709306771.7,3.4210052490234375,,3.4000000953674316
9315,1709306771.75,3.1016311645507812,,3.450000047683716
9316,1709306771.8,2.910003662109375,,3.5
9317,1709306771.85,2.6059646606445312,,3.549999952316284
9318,1709306771.9,2.40411376953125,,3.6000001430511475
9319,1709306771.95,2.176719665527344,,3.6500000953674316
9320,1709306772.0,2.07452392578125,,3.700000047683716
9321,1709306772.05,1.9774322509765625,,3.75
9322,1709306772.1,1.92633056640625,,3.799999952316284
9323,1709306772.15,1.8726806640625,,3.8500001430511475
9324,1709306772.2,1.847129821777344,,3.9000000953674316
9325,1709306772.25,1.8139114379882812,,3.950000047683716
9326,1709306772.3,1.806243896484375,,4.0
9327,1709306772.35,1.798583984375,,4.049999952316284
9328,1709306772.4,1.7960281372070312,,4.1000001430511475
9329,1709306772.45,1.880340576171875,,4.150000095367432
9330,1709306772.5,2.1154022216796875,,4.200000047683716
9331,1709306772.55,2.6953887939453125,,4.25
9332,1709306772.6,3.114410400390625,,4.299999952316284
9333,1709306772.65,3.73016357421875,,4.3500001430511475
9334,1709306772.7,4.164512634277344,,4.400000095367432
9335,1709306772.75,4.87224578857422,,4.450000047683716
9336,1709306772.8,5.3347015380859375,,4.5
