Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
9302,1712518864.1,5.406242370605469,,0.0
9303,1712518864.15,5.442008972167969,,0.0500001907348632
9304,1712518864.2,5.447120666503905,,0.1000001430511474
9305,1712518864.25,5.401130676269531,,0.1500000953674316
9306,1712518864.3,5.245277404785156,,0.2000000476837158
9307,1712518864.35,5.194175720214844,,0.25
9308,1712518864.4,5.229949951171875,,0.3000001907348633
9309,1712518864.45,5.2606048583984375,,0.3500001430511474
9310,1712518864.5,5.240165710449219,,0.4000000953674316
9311,1712518864.55,5.232505798339844,,0.4500000476837158
9312,1712518864.6,5.34748077392578,,0.5
9313,1712518864.65,5.477783203125,,0.5500001907348633
9314,1712518864.7,5.64130401611328,,0.6000001430511475
9315,1712518864.75,5.7664947509765625,,0.6500000953674316
9316,1712518864.8,6.021995544433594,,0.7000000476837158
9317,1712518864.85,6.093536376953125,,0.75
9318,1712518864.9,6.01177978515625,,0.8000001907348633
9319,1712518864.95,5.963233947753905,,0.8500001430511475
9320,1712518865.0,5.924903869628905,,0.9000000953674316
9321,1712518865.05,5.8968048095703125,,0.9500000476837158
9322,1712518865.1,5.904464721679688,,1.0
9323,1712518865.15,5.978561401367188,,1.0500001907348633
9324,1712518865.2,6.15996551513672,,1.1000001430511477
9325,1712518865.25,6.292823791503905,,1.1500000953674316
9326,1712518865.3,6.45124053955078,,1.2000000476837158
9327,1712518865.35,6.5125579833984375,,1.25
9328,1712518865.4,6.5074462890625,,1.3000001907348633
9329,1712518865.45,6.356704711914063,,1.3500001430511477
9330,1712518865.5,6.032218933105469,,1.4000000953674316
9331,1712518865.55,5.873809814453125,,1.4500000476837158
9332,1712518865.6,5.7128448486328125,,1.5
9333,1712518865.65,5.71540069580078,,1.5500001907348633
9334,1712518865.7,6.014335632324219,,1.6000001430511477
9335,1712518865.75,6.343925476074219,,1.6500000953674316
9336,1712518865.8,6.89069366455078,,1.7000000476837158
9337,1712518865.85,7.253509521484375,,1.75
9338,1712518865.9,7.77472686767578,,1.8000001907348633
9339,1712518865.95,8.068550109863281,,1.8500001430511477
9340,1712518866.0,8.441581726074217,,1.900000095367432
9341,1712518866.05,8.725189208984375,,1.950000047683716
9342,1712518866.1,9.24385070800781,,2.0
9343,1712518866.15,9.713973999023438,,2.0500001907348637
9344,1712518866.2,10.217308044433594,,2.1000001430511475
9345,1712518866.25,10.774299621582031,,2.150000095367432
9346,1712518866.3,10.986358642578123,,2.200000047683716
9347,1712518866.35,11.024688720703123,,2.25
9348,1712518866.4,10.822845458984377,,2.3000001907348637
9349,1712518866.45,10.155990600585938,,2.3500001430511475
9350,1712518866.5,9.609214782714846,,2.400000095367432
9351,1712518866.55,8.939804077148438,,2.450000047683716
9352,1712518866.6,8.658760070800781,,2.5
9353,1712518866.65,8.47734832763672,,2.5500001907348637
9354,1712518866.7,8.449249267578125,,2.6000001430511475
9355,1712518866.75,8.566780090332031,,2.650000095367432
9356,1712518866.8,8.70985412597656,,2.700000047683716
9357,1712518866.85,8.896369934082031,,2.75
9358,1712518866.9,8.957695007324217,,2.8000001907348637
9359,1712518866.95,8.934700012207031,,2.8500001430511475
9360,1712518867.0,8.932144165039062,,2.900000095367432
9361,1712518867.05,8.904037475585938,,2.950000047683716
9362,1712518867.1,8.786506652832031,,3.0
9363,1712518867.15,8.564224243164062,,3.0500001907348637
9364,1712518867.2,8.436470031738281,,3.1000001430511475
9365,1712518867.25,8.372596740722656,,3.150000095367432
9366,1712518867.3,8.428810119628906,,3.200000047683716
9367,1712518867.35,8.528450012207031,,3.25
9368,1712518867.4,8.663864135742188,,3.3000001907348637
