Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1717533788.7,3.3647994995117188,,0.0
1717533788.75,3.574310302734375,,0.05
1717533788.8,3.9013442993164062,,0.1
1717533788.85,4.5988616943359375,,0.15
1717533788.9,5.0689849853515625,,0.2
1717533788.95,5.64385986328125,,0.25
1717533789.0,5.978561401367188,,0.3
1717533789.05,6.464012145996094,,0.35
1717533789.1,6.755279541015625,,0.4
1717533789.15,7.1385345458984375,,0.45
1717533789.2,7.363372802734375,,0.5
1717533789.25,7.7082977294921875,,0.55
1717533789.3,7.958686828613281,,0.6
1717533789.35,8.321495056152344,,0.65
1717533789.4,8.556556701660156,,0.7
1717533789.45,8.8631591796875,,0.75
1717533789.5,9.019012451171877,,0.8
1717533789.55,9.159538269042969,,0.85
1717533789.6,9.146759033203123,,0.9
1717533789.65,8.725189208984375,,0.95
1717533789.7,7.9791259765625,,1.0
1717533789.75,6.645416259765625,,1.05
1717533789.8,6.090980529785156,,1.1
1717533789.85,5.7716064453125,,1.15
1717533789.9,5.6668548583984375,,1.2
1717533789.95,5.56720733642578,,1.25
1717533790.0,5.595314025878906,,1.3
1717533790.05,5.6617431640625,,1.35
1717533790.1,5.641304016113281,,1.4
1717533790.15,5.526329040527344,,1.45
1717533790.2,5.434349060058594,,1.5
1717533790.25,5.316818237304688,,1.55
1717533790.3,5.24016571044922,,1.6
1717533790.35,5.132858276367188,,1.65
1717533790.4,5.058761596679688,,1.7
1717533790.45,4.974449157714844,,1.75
1717533790.5,4.946342468261719,,1.8
1717533790.55,4.961669921875,,1.85
1717533790.6,5.005104064941406,,1.9
1717533790.65,5.05109405517578,,1.95
1717533790.7,5.071540832519531,,2.0
1717533790.75,5.0766448974609375,,2.05
1717533790.8,5.079200744628906,,2.1
1717533790.85,5.071540832519531,,2.15
1717533790.9,5.05364990234375,,2.2
1717533790.95,5.002555847167969,,2.25
1717533791.0,4.954010009765625,,2.3
1717533791.05,4.923347473144531,,2.35
1717533791.1,4.94123077392578,,2.4
1717533791.15,4.987220764160156,,2.45
1717533791.2,5.0,,2.5
1717533791.25,4.992332458496094,,2.55
1717533791.3,4.9770050048828125,,2.6
1717533791.35,5.038322448730469,,2.65
1717533791.4,5.227394104003906,,2.7
1717533791.45,5.751167297363281,,2.75
1717533791.5,6.12164306640625,,2.8
1717533791.55,6.52277374267578,,2.85
1717533791.6,6.701629638671875,,2.9
1717533791.65,6.898361206054688,,2.95
1717533791.7,7.013336181640625,,3.0
1717533791.75,7.153861999511719,,3.05
