Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1727030917.85,11.0706787109375,,0.0
1727030917.9,11.259750366210938,,0.05
1727030917.95,11.331283569335938,,0.1
1727030918.0,11.19842529296875,,0.15
1727030918.05,11.057899475097656,,0.2
1727030918.1,10.999137878417969,,0.25
1727030918.15,10.83050537109375,,0.3
1727030918.2,10.753860473632812,,0.35
1727030918.25,10.483024597167969,,0.4
1727030918.3,10.2607421875,,0.45
1727030918.35,10.09722137451172,,0.5
1727030918.4,10.066558837890623,,0.55
1727030918.45,10.041015625,,0.6
1727030918.5,10.05889892578125,,0.65
1727030918.55,10.104888916015623,,0.7
1727030918.6,9.969474792480469,,0.75
1727030918.65,9.568336486816406,,0.8
1727030918.7,9.310279846191406,,0.85
1727030918.75,8.965354919433594,,0.9
1727030918.8,8.814613342285156,,0.95
1727030918.85,8.799278259277344,,1.0
1727030918.9,8.878486633300781,,1.05
1727030918.95,8.942359924316406,,1.1
1727030919.0,8.906593322753906,,1.15
1727030919.05,8.835052490234375,,1.2
1727030919.1,8.794174194335938,,1.25
1727030919.15,8.778839111328125,,1.3
1727030919.2,8.776283264160156,,1.35
1727030919.25,8.643424987792969,,1.4
1727030919.3,8.566780090332031,,1.45
1727030919.35,8.599990844726562,,1.5
1727030919.4,8.643424987792969,,1.55
1727030919.45,8.533561706542969,,1.6
1727030919.5,8.290840148925781,,1.65
1727030919.55,7.8692626953125,,1.7
1727030919.6,7.644424438476563,,1.75
1727030919.65,7.401695251464843,,1.8
1727030919.7,7.330154418945312,,1.85
1727030919.75,7.529449462890625,,1.9
1727030919.8,7.899925231933594,,1.95
1727030919.85,8.748184204101562,,2.0
1727030919.9,9.43803405761719,,2.05
1727030919.95,10.472808837890623,,2.1
1727030920.0,11.134552001953123,,2.15
1727030920.05,12.067123413085938,,2.2
1727030920.1,12.611343383789062,,2.25
1727030920.15,13.181106567382812,,2.3
1727030920.2,13.127449035644531,,2.35
1727030920.25,12.458038330078123,,2.4
1727030920.3,12.028800964355469,,2.45
1727030920.35,11.635330200195312,,2.5
1727030920.4,11.482032775878906,,2.55
1727030920.45,11.295516967773438,,2.6
1727030920.5,11.213760375976562,,2.65
1727030920.55,11.16010284423828,,2.7
1727030920.6,11.103889465332031,,2.75
1727030920.65,10.98125457763672,,2.8
1727030920.7,10.83306121826172,,2.85
1727030920.75,10.57500457763672,,2.9
1727030920.8,10.50091552734375,,2.95
1727030920.85,10.513687133789062,,3.0
1727030920.9,10.541793823242188,,3.05
1727030920.95,10.559677124023438,,3.1
1727030921.0,10.531570434570312,,3.15
1727030921.05,10.421707153320312,,3.2
1727030921.1,10.31439971923828,,3.25
1727030921.15,10.17131805419922,,3.3
1727030921.2,10.030792236328123,,3.35
1727030921.25,9.808509826660156,,3.4
1727030921.3,9.790618896484377,,3.45
1727030921.35,9.854499816894531,,3.5
1727030921.4,9.890266418457031,,3.55
1727030921.45,9.931144714355469,,3.6
1727030921.5,9.951583862304688,,3.65
1727030921.55,10.005241394042969,,3.7
1727030921.6,10.0767822265625,,3.75
1727030921.65,10.125328063964844,,3.8
1727030921.7,10.05889892578125,,3.85
1727030921.75,9.94647979736328,,3.9
1727030921.8,9.951583862304688,,3.95
1727030921.85,9.974578857421877,,4.0
1727030921.9,9.94903564453125,,4.05
1727030921.95,9.954139709472656,,4.1
1727030922.0,9.992469787597656,,4.15
1727030922.05,10.041015625,,4.2
1727030922.1,10.038459777832031,,4.25
1727030922.15,9.869827270507812,,4.3
1727030922.2,9.683311462402346,,4.35
1727030922.25,9.568336486816406,,4.4
1727030922.3,9.609214782714846,,4.45
1727030922.35,9.680755615234377,,4.5
1727030922.4,9.739524841308592,,4.55
1727030922.45,9.816169738769531,,4.6
1727030922.5,9.844276428222656,,4.65
1727030922.55,9.859603881835936,,4.7
1727030922.6,9.828948974609377,,4.75
1727030922.65,9.701194763183594,,4.8
1727030922.7,9.550453186035156,,4.85
1727030922.75,9.39459991455078,,4.9
1727030922.8,9.379264831542969,,4.95
1727030922.85,9.407371520996092,,5.0
1727030922.9,9.4508056640625,,5.05
1727030922.95,9.50446319580078,,5.1
1727030923.0,9.537673950195312,13.066202163696287,5.15
1727030923.05,9.54534149169922,,5.2
1727030923.1,9.527458190917969,,5.25
1727030923.15,9.412483215332031,,5.3
1727030923.2,9.277069091796877,,5.35
1727030923.25,9.159538269042969,,5.4
1727030923.3,9.110992431640623,,5.45
1727030923.35,9.0087890625,,5.5
1727030923.4,8.942359924316406,,5.55
1727030923.45,8.909149169921875,,5.6
1727030923.5,8.932144165039062,,5.65
1727030923.55,8.965354919433594,,5.7
1727030923.6,8.965354919433594,,5.75
1727030923.65,8.832496643066406,,5.8
1727030923.7,8.691970825195312,,5.85
1727030923.75,8.599990844726562,,5.9
1727030923.8,8.571884155273438,,5.95
1727030923.85,8.405815124511719,,6.0
1727030923.9,8.21929931640625,,6.05
1727030923.95,7.9663543701171875,,6.1
1727030924.0,7.874374389648437,,6.15
1727030924.05,7.88459014892578,,6.2
1727030924.1,7.991905212402344,,6.25
1727030924.15,8.060890197753906,,6.3
1727030924.2,7.92292022705078,,6.35
1727030924.25,7.616317749023437,,6.4
1727030924.3,7.521781921386719,,6.45
1727030924.35,7.506454467773437,,6.5
1727030924.4,7.48601531982422,,6.55
1727030924.45,7.532005310058594,,6.6
