Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1727552441.6,5.434349060058594,,0.0
1727552441.65,5.521217346191406,,0.05
1727552441.7,5.909576416015625,,0.1
1727552441.75,6.315818786621094,,0.15
1727552441.8,6.7782745361328125,,0.2
1727552441.85,6.7782745361328125,,0.25
1727552441.9,6.52532958984375,,0.3
1727552441.95,6.479339599609375,,0.35
1727552442.0,6.627532958984375,,0.4
1727552442.05,6.724624633789063,,0.45
1727552442.1,7.0005645751953125,,0.5
1727552442.15,7.401695251464843,,0.55
1727552442.2,8.206520080566406,,0.6
1727552442.25,8.837608337402344,,0.65
1727552442.3,9.83916473388672,,0.7
1727552442.35,10.268409729003906,,0.75
1727552442.4,10.408935546875,,0.8
1727552442.45,10.403823852539062,,0.85
1727552442.5,10.434478759765623,,0.9
1727552442.55,10.552009582519531,,0.95
1727552442.6,10.83306121826172,,1.0
1727552442.65,10.97869873046875,,1.05
1727552442.7,10.971031188964844,,1.1
1727552442.75,10.666984558105469,,1.15
1727552442.8,10.143211364746094,,1.2
1727552442.85,10.201980590820312,,1.25
1727552442.9,10.746192932128906,,1.3
1727552442.95,10.973587036132812,,1.35
1727552443.0,10.894378662109377,,1.4
1727552443.05,10.738525390625,,1.45
1727552443.1,10.506019592285156,,1.5
1727552443.15,10.309288024902344,,1.55
1727552443.2,9.977134704589846,,1.6
1727552443.25,9.80595397949219,,1.65
1727552443.3,9.634765625,,1.7
1727552443.35,9.54534149169922,,1.75
1727552443.4,9.392044067382812,,1.8
1727552443.45,9.279624938964846,,1.85
1727552443.5,9.17486572265625,,1.9
1727552443.55,9.154426574707031,,1.95
1727552443.6,9.218299865722656,,2.0
1727552443.65,9.3409423828125,,2.05
1727552443.7,9.61432647705078,,2.1
1727552443.75,9.91581726074219,,2.15
1727552443.8,10.751304626464844,,2.2
1727552443.85,11.551017761230469,,2.25
1727552443.9,12.797859191894531,,2.3
1727552443.95,13.365066528320312,,2.35
1727552444.0,13.454490661621094,,2.4
1727552444.05,13.117233276367188,,2.45
1727552444.1,12.861732482910156,,2.5
1727552444.15,12.986923217773438,,2.55
1727552444.2,13.132560729980469,,2.6
1727552444.25,13.135116577148438,,2.65
1727552444.3,12.935829162597656,,2.7
1727552444.35,12.693099975585938,,2.75
1727552444.4,12.460594177246094,,2.8
1727552444.45,12.401832580566406,,2.85
1727552444.5,12.371170043945312,,2.9
1727552444.55,12.383949279785156,,2.95
1727552444.6,12.389053344726562,,3.0
1727552444.65,12.345619201660156,,3.05
1727552444.7,12.243423461914062,,3.1
1727552444.75,12.199989318847656,,3.15
1727552444.8,12.138664245605469,,3.2
1727552444.85,12.097785949707031,,3.25
1727552444.9,11.947044372558594,,3.3
1727552444.95,11.763084411621094,,3.35
1727552445.0,11.482032775878906,,3.4
1727552445.05,11.280189514160156,,3.45
1727552445.1,10.896934509277344,,3.5
1727552445.15,10.5545654296875,,3.55
1727552445.2,10.030792236328123,,3.6
1727552445.25,9.80595397949219,,3.65
1727552445.3,9.675643920898438,,3.7
1727552445.35,9.660316467285156,,3.75
1727552445.4,9.57855987548828,,3.8
1727552445.45,9.499351501464846,,3.85
1727552445.5,9.312835693359377,,3.9
1727552445.55,9.128875732421877,,3.95
1727552445.6,8.957695007324219,,4.0
1727552445.65,8.957695007324219,,4.05
