Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1727565936.8,8.122207641601562,,0.0
1727565936.85,8.114540100097656,,0.05
1727565936.9,8.1273193359375,,0.1
1727565936.95,8.155418395996094,,0.15
1727565937.0,8.140090942382812,,0.2
1727565937.05,8.132423400878906,,0.25
1727565937.1,8.14520263671875,,0.3
1727565937.15,8.1273193359375,,0.35
1727565937.2,8.1273193359375,,0.4
1727565937.25,8.150314331054688,,0.45
1727565937.3,8.157974243164062,,0.5
1727565937.35,8.060890197753906,,0.55
1727565937.4,7.899925231933594,,0.6
1727565937.45,7.7593994140625,,0.65
1727565937.5,7.795166015625,,0.7
1727565937.55,7.889701843261719,,0.75
1727565937.6,7.915252685546875,,0.8
1727565937.65,7.876930236816406,,0.85
1727565937.7,7.856483459472656,,0.9
1727565937.75,7.846267700195312,,0.95
1727565937.8,7.81560516357422,,1.0
1727565937.85,7.7593994140625,,1.05
1727565937.9,7.751731872558594,,1.1
1727565937.95,7.787498474121095,,1.15
1727565938.0,7.81304931640625,14.409221649169922,1.2
1727565938.05,7.795166015625,,1.25
1727565938.1,7.756843566894531,,1.3
1727565938.15,7.782394409179688,,1.35
1727565938.2,7.846267700195312,,1.4
1727565938.25,7.958686828613281,,1.45
1727565938.3,7.986793518066406,,1.5
1727565938.35,7.92546844482422,,1.55
1727565938.4,7.879478454589843,,1.6
1727565938.45,7.843711853027344,,1.65
1727565938.5,7.820716857910157,,1.7
1727565938.55,7.77472686767578,,1.75
1727565938.6,7.713409423828125,,1.8
1727565938.65,7.59332275390625,,1.85
1727565938.7,7.537109375,,1.9
1727565938.75,7.40936279296875,,1.95
1727565938.8,7.309715270996095,,2.0
1727565938.85,7.26116943359375,,2.05
1727565938.9,7.25861358642578,,2.1
1727565938.95,7.2432861328125,,2.15
1727565939.0,7.233070373535157,,2.2
1727565939.05,7.179412841796875,,2.25
1727565939.1,7.120643615722656,,2.3
1727565939.15,7.04144287109375,,2.35
1727565939.2,7.04144287109375,,2.4
