Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
9452,1710358236.6,2.766929626464844,,0.0
9453,1710358236.65,2.644287109375,,0.0500001907348632
9454,1710358236.7,2.6034088134765625,,0.1000001430511474
9455,1710358236.75,2.58807373046875,,0.1500000953674316
9456,1710358236.8,2.5931854248046875,,0.2000000476837158
9457,1710358236.85,2.5727462768554688,,0.25
9458,1710358236.9,2.524200439453125,,0.3000001907348633
9459,1710358236.95,2.424560546875,,0.3500001430511474
9460,1710358237.0,2.3530197143554688,,0.4000000953674316
9461,1710358237.05,2.2329330444335938,,0.4500000476837158
9462,1710358237.1,2.153724670410156,,0.5
9463,1710358237.15,2.066856384277344,,0.5500001907348633
9464,1710358237.2,2.0234222412109375,,0.6000001430511475
9465,1710358237.25,1.9467697143554688,,0.6500000953674316
9466,1710358237.3,1.898223876953125,,0.7000000476837158
9467,1710358237.35,1.8777847290039065,,0.75
9468,1710358237.4,1.8931198120117188,,0.8000001907348633
9469,1710358237.45,1.9135589599609375,,0.8500001430511475
9470,1710358237.5,1.9135589599609375,,0.9000000953674316
9471,1710358237.55,1.9007797241210935,,0.9500000476837158
9472,1710358237.6,1.8956756591796875,,1.0
9473,1710358237.65,1.89056396484375,,1.0500001907348633
9474,1710358237.7,1.8854522705078125,,1.1000001430511477
9475,1710358237.75,1.908447265625,,1.1500000953674316
9476,1710358237.8,1.936553955078125,,1.2000000476837158
9477,1710358237.85,1.9288864135742188,,1.25
9478,1710358237.9,1.8701248168945312,,1.3000001907348633
9479,1710358237.95,1.7577056884765625,,1.3500001430511477
9480,1710358238.0,1.6989364624023438,,1.4000000953674316
9481,1710358238.05,1.6171798706054688,,1.4500000476837158
9482,1710358238.1,1.5609664916992188,,1.5
9483,1710358238.15,1.48431396484375,,1.5500001907348633
9484,1710358238.2,1.4511032104492188,,1.6000001430511477
9485,1710358238.25,1.4281082153320312,,1.6500000953674316
9486,1710358238.3,1.4255523681640625,,1.7000000476837158
9487,1710358238.35,1.4306640625,,1.75
9488,1710358238.4,1.4281082153320312,,1.8000001907348633
9489,1710358238.45,1.3948898315429688,,1.8500001430511477
9490,1710358238.5,1.3693389892578125,,1.9000000953674316
9491,1710358238.55,1.3412399291992188,,1.950000047683716
9492,1710358238.6,1.3259048461914062,,2.0
9493,1710358238.65,1.3029098510742188,,2.0500001907348633
9494,1710358238.7,1.2978057861328125,,2.1000001430511475
9495,1710358238.75,1.2952499389648438,,2.1500000953674316
9496,1710358238.8,1.2952499389648438,,2.200000047683716
9497,1710358238.85,1.310577392578125,,2.25
9498,1710358238.9,1.3310165405273438,,2.3000001907348633
9499,1710358238.95,1.3488998413085938,,2.3500001430511475
9500,1710358239.0,1.3488998413085938,,2.4000000953674316
9501,1710358239.05,1.33868408203125,,2.450000047683716
9502,1710358239.1,1.3233489990234375,,2.5
9503,1710358239.15,1.3054656982421875,,2.5500001907348633
9504,1710358239.2,1.30035400390625,,2.6000001430511475
9505,1710358239.25,1.2901382446289062,,2.6500000953674316
9506,1710358239.3,1.282470703125,,2.700000047683716
9507,1710358239.35,1.2671432495117188,,2.75
9508,1710358239.4,1.26458740234375,,2.8000001907348633
9509,1710358239.45,1.2799148559570312,,2.8500001430511475
9510,1710358239.5,1.2875823974609375,,2.9000000953674316
9511,1710358239.55,1.2875823974609375,,2.950000047683716
9512,1710358239.6,1.282470703125,,3.0
9513,1710358239.65,1.2620315551757812,,3.0500001907348633
9514,1710358239.7,1.2518157958984375,,3.1000001430511475
9515,1710358239.75,1.2492599487304688,,3.1500000953674316
9516,1710358239.8,1.2518157958984375,,3.200000047683716
9517,1710358239.85,1.2569198608398438,,3.25
9518,1710358239.9,1.2569198608398438,,3.3000001907348633
9519,1710358239.95,1.2620315551757812,,3.3500001430511475
9520,1710358240.0,1.2671432495117188,,3.4000000953674316
9521,1710358240.05,1.2671432495117188,,3.450000047683716
9522,1710358240.1,1.2722549438476562,,3.5
9523,1710358240.15,1.282470703125,,3.5500001907348633
9524,1710358240.2,1.2850265502929688,,3.6000001430511475
9525,1710358240.25,1.292694091796875,,3.650000095367432
9526,1710358240.3,1.2875823974609375,,3.700000047683716
9527,1710358240.35,1.2671432495117188,,3.75
9528,1710358240.4,1.26458740234375,,3.8000001907348633
9529,1710358240.45,1.2594757080078125,,3.850000143051147
9530,1710358240.5,1.2569198608398438,,3.900000095367432
9531,1710358240.55,1.274810791015625,,3.950000047683716
9532,1710358240.6,1.2722549438476562,,4.0
9533,1710358240.65,1.2518157958984375,,4.050000190734863
9534,1710358240.7,1.2415924072265625,,4.1000001430511475
9535,1710358240.75,1.236480712890625,,4.150000095367432
9536,1710358240.8,1.22882080078125,,4.200000047683716
9537,1710358240.85,1.2058258056640625,,4.25
9538,1710358240.9,1.1981582641601562,,4.300000190734863
9539,1710358240.95,1.1930465698242188,,4.3500001430511475
9540,1710358241.0,1.1981582641601562,,4.400000095367432
9541,1710358241.05,1.2083740234375,,4.450000047683716
9542,1710358241.1,1.2109298706054688,,4.5
9543,1710358241.15,1.1981582641601562,,4.550000190734863
9544,1710358241.2,1.1879348754882812,,4.6000001430511475
9545,1710358241.25,1.1879348754882812,,4.650000095367432
9546,1710358241.3,1.1930465698242188,,4.700000047683716
9547,1710358241.35,1.1879348754882812,,4.75
9548,1710358241.4,1.1751632690429688,,4.800000190734863
9549,1710358241.45,1.1853790283203125,,4.8500001430511475
9550,1710358241.5,1.2339248657226562,,4.900000095367432
9551,1710358241.55,1.4281082153320312,,4.950000047683716
