Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1721695911.8,4.823699951171875,,0.0
1721695911.85,4.795600891113281,,0.05
1721695911.9,4.76238250732422,,0.1
1721695911.95,4.726615905761719,,0.15
1721695912.0,4.736831665039063,,0.2
1721695912.05,4.823699951171875,,0.25
1721695912.1,4.900352478027344,,0.3
1721695912.15,4.989776611328125,,0.35
1721695912.2,5.05364990234375,,0.4
1721695912.25,5.209510803222656,,0.45
1721695912.3,5.383247375488281,,0.5
1721695912.35,5.7026214599609375,,0.55
1721695912.4,5.873809814453125,,0.6
1721695912.45,6.111419677734375,,0.65
1721695912.5,6.338813781738281,,0.7
1721695912.55,6.796165466308594,,0.75
1721695912.6,7.120643615722656,,0.8
1721695912.65,7.480903625488281,,0.85
1721695912.7,7.649528503417968,,0.9
1721695912.75,7.874374389648437,,0.95
1721695912.8,8.004676818847656,,1.0
1721695912.85,8.032783508300781,,1.05
1721695912.9,7.930580139160157,,1.1
1721695912.95,7.746620178222656,,1.15
1721695913.0,7.59587860107422,,1.2
1721695913.05,7.22795867919922,,1.25
1721695913.1,6.977569580078125,,1.3
1721695913.15,6.607093811035156,,1.35
1721695913.2,6.2877197265625,,1.4
1721695913.25,5.9146881103515625,,1.45
1721695913.3,5.8124847412109375,,1.5
1721695913.35,5.855918884277344,,1.55
1721695913.4,5.95556640625,,1.6
1721695913.45,6.04499053955078,,1.65
1721695913.5,6.060325622558594,,1.7
1721695913.55,6.052658081054688,,1.75
1721695913.6,6.0424346923828125,,1.8
1721695913.65,6.016883850097656,,1.85
1721695913.7,5.970893859863281,,1.9
1721695913.75,5.917243957519531,,1.95
1721695913.8,5.904464721679688,,2.0
1721695913.85,5.871253967285156,,2.05
1721695913.9,5.845703125,,2.1
1721695913.95,5.853370666503906,,2.15
1721695914.0,5.830375671386719,,2.2
1721695914.05,5.758834838867188,,2.25
1721695914.1,5.774162292480469,,2.3
1721695914.15,5.884025573730469,,2.35
1721695914.2,5.970893859863281,,2.4
1721695914.25,6.08332061767578,,2.45
1721695914.3,6.136970520019531,,2.5
1721695914.35,6.167633056640625,,2.55
1721695914.4,6.165077209472656,,2.6
1721695914.45,6.147193908691406,,2.65
1721695914.5,6.12164306640625,,2.7
1721695914.55,6.0654296875,,2.75
1721695914.6,6.04754638671875,,2.8
1721695914.65,6.037330627441406,,2.85
1721695914.7,6.016883850097656,,2.9
1721695914.75,5.978561401367188,,2.95
1721695914.8,5.9146881103515625,,3.0
1721695914.85,5.720504760742188,,3.05
1721695914.9,5.620864868164063,,3.1
1721695914.95,5.602973937988281,,3.15
1721695915.0,5.664299011230469,,3.2
1721695915.05,5.820152282714844,,3.25
1721695915.1,5.9325714111328125,,3.3
1721695915.15,6.108863830566406,,3.35
1721695915.2,6.223838806152344,,3.4
1721695915.25,6.354148864746094,,3.45
1721695915.3,6.425689697265625,,3.5
1721695915.35,6.517669677734375,,3.55
1721695915.4,6.56365966796875,,3.6
1721695915.45,6.619865417480469,,3.65
1721695915.5,6.67352294921875,,3.7
1721695915.55,6.755279541015625,,3.75
1721695915.6,6.829376220703125,,3.8
1721695915.65,7.026115417480469,,3.85
1721695915.7,7.11553955078125,,3.9
1721695915.75,7.166633605957031,,3.95
1721695915.8,7.233070373535157,,4.0
1721695915.85,7.399139404296875,,4.05
1721695915.9,7.567771911621095,,4.1
1721695915.95,7.807945251464843,,4.15
1721695916.0,7.892257690429688,,4.2
1721695916.05,7.958686828613281,,4.25
1721695916.1,7.974014282226563,,4.3
1721695916.15,7.958686828613281,,4.35
1721695916.2,7.935691833496095,,4.4
1721695916.25,7.905029296875,,4.45
1721695916.3,7.88714599609375,,4.5
1721695916.35,7.848823547363281,,4.55
1721695916.4,7.802833557128905,,4.6
1721695916.45,7.7210693359375,,4.65
1721695916.5,7.6904144287109375,,4.7
1721695916.55,7.539665222167968,,4.75
1721695916.6,7.394035339355469,,4.8
1721695916.65,7.319938659667968,,4.85
1721695916.7,7.386367797851563,,4.9
1721695916.75,7.562660217285157,,4.95
1721695916.8,7.580543518066406,,5.0
1721695916.85,7.429801940917968,,5.05
1721695916.9,7.314826965332032,,5.1
1721695916.95,7.1743011474609375,,5.15
1721695917.0,7.061882019042969,,5.2
1721695917.05,6.814048767089844,,5.25
1721695917.1,6.6224212646484375,,5.3
1721695917.15,6.34136962890625,,5.35
1721695917.2,6.19318389892578,,5.4
1721695917.25,6.01433563232422,,5.45
1721695917.3,5.930015563964844,,5.5
1721695917.35,5.86358642578125,,5.55
1721695917.4,5.8048248291015625,,5.6
1721695917.45,5.75372314453125,,5.65
1721695917.5,5.758834838867188,,5.7
1721695917.55,5.774162292480469,,5.75
1721695917.6,5.799713134765625,,5.8
1721695917.65,5.8227081298828125,,5.85
1721695917.7,5.8048248291015625,,5.9
1721695917.75,5.7664947509765625,,5.95
1721695917.8,5.746055603027344,,6.0
1721695917.85,5.730728149414063,,6.05
1721695917.9,5.769050598144531,,6.1
1721695917.95,5.838035583496094,,6.15
1721695918.0,5.845703125,21.645021438598636,6.2
1721695918.05,5.82526397705078,,6.25
1721695918.1,5.835479736328125,,6.3
1721695918.15,5.8968048095703125,,6.35
1721695918.2,5.8814697265625,,6.4
1721695918.25,5.7026214599609375,,6.45
1721695918.3,5.562095642089844,,6.5
1721695918.35,5.393470764160156,,6.55
1721695918.4,5.314262390136719,,6.6
1721695918.45,5.23760986328125,,6.65
1721695918.5,5.166069030761719,,6.7
1721695918.55,5.038322448730469,,6.75
1721695918.6,4.961669921875,,6.8
1721695918.65,4.851806640625,,6.85
1721695918.7,4.775154113769531,,6.9
1721695918.75,4.642295837402344,,6.95
1721695918.8,4.5630950927734375,,7.0
1721695918.85,4.4889984130859375,,7.05
1721695918.9,4.46600341796875,,7.1
1721695918.95,4.509437561035156,,7.15
1721695919.0,4.583534240722656,,7.2
1721695919.05,4.657630920410156,,7.25
1721695919.1,4.621856689453125,,7.3
1721695919.15,4.4149017333984375,,7.35
1721695919.2,4.292259216308594,,7.4
1721695919.25,4.271820068359375,,7.45
1721695919.3,4.330589294433594,,7.5
1721695919.35,4.486442565917969,,7.55
1721695919.4,4.6090850830078125,,7.6
1721695919.45,4.7777099609375,,7.65
1721695919.5,4.83136749267578,,7.7
1721695919.55,4.826255798339844,,7.75
1721695919.6,4.823699951171875,,7.8
1721695919.65,4.846694946289063,,7.85
1721695919.7,4.859474182128906,,7.9
1721695919.75,4.874801635742188,,7.95
1721695919.8,4.915679931640625,,8.0
1721695919.85,4.964225769042969,,8.05
1721695919.9,4.964225769042969,,8.1
1721695919.95,5.02043914794922,,8.15
1721695920.0,5.125190734863281,,8.2
1721695920.05,5.367919921875,,8.25
1721695920.1,5.523773193359375,,8.3
1721695920.15,5.725616455078125,,8.35
1721695920.2,5.855918884277344,,8.4
1721695920.25,6.060325622558594,,8.45
1721695920.3,6.208511352539063,,8.5
1721695920.35,6.461456298828125,,8.55
1721695920.4,6.681190490722656,,8.6
1721695920.45,7.010780334472656,,8.65
1721695920.5,7.153861999511719,,8.7
1721695920.55,7.3224945068359375,,8.75
1721695920.6,7.4502410888671875,,8.8
1721695920.65,7.521781921386719,,8.85
1721695920.7,7.488563537597656,,8.9
1721695920.75,7.442573547363281,,8.95
1721695920.8,7.4604644775390625,,9.0
1721695920.85,7.606094360351563,,9.05
1721695920.9,7.675079345703125,,9.1
1721695920.95,7.662307739257812,,9.15
1721695921.0,7.646980285644531,,9.2
1721695921.05,7.618873596191406,,9.25
1721695921.1,7.575439453125,,9.3
