Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
8135,1711481642.75,6.052658081054688,,0.0
8136,1711481642.8,6.34136962890625,,0.04999995231628773
8137,1711481642.85,6.7706146240234375,,0.09999990463256836
8138,1711481642.9,7.15386199951172,,0.15000009536743164
8139,1711481642.95,7.723625183105469,,0.20000004768371582
8140,1711481643.0,7.9791259765625,,0.25
8141,1711481643.05,8.134979248046875,,0.29999995231628773
8142,1711481643.1,8.140090942382812,,0.34999990463256836
8143,1711481643.15,8.01234436035156,,0.40000009536743164
8144,1711481643.2,7.846267700195312,,0.4500000476837158
8145,1711481643.25,7.590766906738281,,0.5
8146,1711481643.3,7.363372802734375,,0.5499999523162877
8147,1711481643.35,6.96479034423828,,0.5999999046325684
8148,1711481643.4,6.724624633789063,,0.6500000953674316
8149,1711481643.45,6.315818786621094,,0.7000000476837158
8150,1711481643.5,6.0245513916015625,,0.75
8151,1711481643.55,5.5518798828125,,0.7999999523162877
8152,1711481643.6,5.263160705566406,,0.8499999046325684
8153,1711481643.65,4.94123077392578,,0.9000000953674316
8154,1711481643.7,4.7777099609375,,0.9500000476837158
8155,1711481643.75,4.57331085205078,,1.0
8156,1711481643.8,4.412345886230469,,1.0499999523162877
8157,1711481643.85,4.1210784912109375,,1.0999999046325684
8158,1711481643.9,4.0112152099609375,,1.1500000953674316
8159,1711481643.95,4.10063934326172,,1.2000000476837158
8160,1711481644.0,4.182395935058594,,1.25
8161,1711481644.05,4.0827484130859375,,1.2999999523162877
8162,1711481644.1,3.9013442993164062,,1.3499999046325684
8163,1711481644.15,3.645843505859375,,1.4000000953674316
8164,1711481644.2,3.515541076660156,,1.4500000476837158
8165,1711481644.25,3.36224365234375,,1.5
8166,1711481644.3,3.28814697265625,,1.5499999523162877
8167,1711481644.35,3.1578445434570312,,1.5999999046325684
8168,1711481644.4,3.0990753173828125,,1.6500000953674316
8169,1711481644.45,3.127182006835937,,1.7000000476837158
8170,1711481644.5,3.1450653076171875,,1.75
8171,1711481644.55,3.1195144653320312,,1.7999999523162913
8172,1711481644.6,3.1552886962890625,,1.8499999046325684
8173,1711481644.65,3.433784484863281,,1.9000000953674316
8174,1711481644.7,3.76593017578125,,1.9500000476837158
8175,1711481644.75,4.4430084228515625,,2.0
8176,1711481644.8,4.9310150146484375,,2.0499999523162913
8177,1711481644.85,5.510993957519531,,2.0999999046325684
8178,1711481644.9,5.8814697265625,,2.1500000953674316
8179,1711481644.95,6.515113830566406,,2.200000047683716
8180,1711481645.0,6.898361206054688,,2.25
8181,1711481645.05,7.276504516601562,,2.2999999523162913
8182,1711481645.1,7.307159423828125,,2.3499999046325684
8183,1711481645.15,6.8523712158203125,,2.4000000953674316
8184,1711481645.2,6.3975830078125,,2.450000047683716
8185,1711481645.25,6.0654296875,,2.5
8186,1711481645.3,6.108863830566406,,2.5499999523162913
8187,1711481645.35,6.093536376953125,,2.5999999046325684
8188,1711481645.4,5.95556640625,,2.6500000953674316
8189,1711481645.45,5.950454711914063,,2.700000047683716
8190,1711481645.5,6.055213928222656,,2.75
8191,1711481645.55,6.037330627441406,,2.7999999523162913
8192,1711481645.6,5.947898864746094,,2.8499999046325684
8193,1711481645.65,5.93512725830078,,2.9000000953674316
8194,1711481645.7,5.9964447021484375,,2.950000047683716
8195,1711481645.75,6.032218933105469,,3.0
8196,1711481645.8,6.062873840332031,,3.0499999523162913
8197,1711481645.85,6.142082214355469,,3.0999999046325684
8198,1711481645.9,6.032218933105469,,3.1500000953674316
8199,1711481645.95,5.597869873046875,,3.200000047683716
8200,1711481646.0,5.23760986328125,18.58224296569824,3.25
8201,1711481646.05,4.6678466796875,,3.2999999523162913
8202,1711481646.1,4.2999267578125,,3.3499999046325684
8203,1711481646.15,3.834915161132813,,3.4000000953674316
8204,1711481646.2,3.6049652099609375,,3.450000047683716
8205,1711481646.25,3.352020263671875,,3.5
8206,1711481646.3,3.221717834472656,,3.5499999523162913
8207,1711481646.35,3.114410400390625,,3.5999999046325684
8208,1711481646.4,3.134849548339844,,3.6500000953674316
8209,1711481646.45,3.43634033203125,,3.700000047683716
8210,1711481646.5,3.80426025390625,,3.75
8211,1711481646.55,4.422569274902344,,3.7999999523162913
8212,1711481646.6,4.826255798339844,,3.8499999046325684
8213,1711481646.65,5.3449249267578125,,3.9000000953674316
8214,1711481646.7,5.636192321777344,,3.950000047683716
8215,1711481646.75,5.9146881103515625,,4.0
8216,1711481646.8,5.8584747314453125,,4.049999952316291
8217,1711481646.85,5.541656494140625,,4.099999904632568
8218,1711481646.9,5.362808227539063,,4.150000095367432
8219,1711481646.95,5.252944946289063,,4.200000047683716
8220,1711481647.0,5.247833251953125,,4.25
8221,1711481647.05,5.283599853515625,,4.299999952316291
8222,1711481647.1,5.2938232421875,,4.349999904632568
8223,1711481647.15,5.2197265625,,4.400000095367432
8224,1711481647.2,5.130302429199219,,4.450000047683716
8225,1711481647.25,4.969337463378905,,4.5
8226,1711481647.3,4.844139099121094,,4.549999952316291
8227,1711481647.35,4.68828582763672,,4.599999904632568
8228,1711481647.4,4.624412536621094,,4.650000095367432
8229,1711481647.45,4.43022918701172,,4.700000047683716
8230,1711481647.5,4.3126983642578125,,4.75
8231,1711481647.55,4.376579284667969,,4.799999952316291
8232,1711481647.6,4.481330871582031,,4.849999904632568
8233,1711481647.65,4.583534240722656,,4.900000095367432
