Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926457.7,6.6326446533203125,,,,,5.85
1727926457.75,6.274940490722656,,,,,5.9
1727926457.8,6.096092224121094,,,,,5.95
1727926457.85,5.9197998046875,,,,,6.0
1727926457.9,5.820152282714844,,,,,6.05
1727926457.95,5.723060607910156,,,,,6.1
1727926458.0,5.710289001464844,,,,,6.15
1727926458.05,5.723060607910156,,,,,6.2
1727926458.1,5.75372314453125,,,,,6.25
1727926458.15,5.779273986816406,,,,,6.3
1727926458.2,5.7664947509765625,,,,,6.35
1727926458.25,5.78948974609375,,,,,6.4
1727926458.3,5.840591430664063,,,,,6.45
1727926458.35,5.930015563964844,,,,,6.5
1727926458.4,5.999000549316406,,,,,6.55
1727926458.45,6.152305603027344,,,,,6.6
1727926458.5,6.297935485839844,,,,,6.65
1727926458.55,6.5943145751953125,,,,,6.7
1727926458.6,6.8753662109375,,,,,6.75
1727926458.65,7.440025329589843,,,,,6.8
1727926458.7,8.017448425292969,,,,,6.85
1727926458.75,9.218299865722656,,,,,6.9
1727926458.8,10.145767211914062,,,,,6.95
1727926458.85,11.502471923828123,,,,,7.0
1727926458.9,12.26641845703125,,,,,7.05
1727926458.95,13.285858154296877,,,,,7.1
1727926459.0,13.840293884277344,,,,,7.15
1727926459.05,14.420280456542969,,,,,7.2
1727926459.1,14.857185363769531,,,,,7.25
1727926459.15,15.922622680664062,,,,,7.3
1727926459.2,16.906295776367188,,,,,7.35
1727926459.25,18.65135955810547,,,,,7.4
1727926459.3,19.82666015625,,,,,7.45
1727926459.35,21.469528198242188,,,,,7.5
1727926459.4,22.542625427246097,,,,,7.55
1727926459.45,23.817569732666016,,,,,7.6
1727926459.5,24.39755630493164,,,,,7.65
1727926459.55,25.58052062988281,,,,,7.7
1727926459.6,26.707275390625,,,,,7.75
1727926459.65,28.603084564208984,,,,,7.8
1727926459.7,29.959789276123047,,,,,7.85
1727926459.75,31.735515594482425,,,,,7.9
1727926459.8,32.50712585449219,,,,,7.95
1727926459.85,33.02067947387695,,,,,8.0
1727926459.9,32.895484924316406,,,,,8.05
1727926459.95,32.10087966918945,,,,,8.1
1727926460.0,31.224517822265625,18.69158935546875,,,,8.15
1727926460.05,29.390026092529297,,,,,8.2
1727926460.1,28.053760528564453,,,,,8.25
1727926460.15,26.31636047363281,,,,,8.3
1727926460.2,25.33779525756836,,,,,8.35
1727926460.25,24.00152969360352,,,,,8.4
1727926460.3,23.084285736083984,,,,,8.45
1727926460.35,21.5206298828125,,,,,8.5
1727926460.4,20.35043334960937,,,,,8.55
1727926460.45,18.54149627685547,,,,,8.6
1727926460.5,17.430068969726562,,,,,8.65
1727926460.55,15.968612670898438,,,,,8.7
1727926460.6,15.107574462890623,,,,,8.75
1727926460.65,13.88628387451172,,,,,8.8
1727926460.7,13.165779113769531,,,,,8.85
1727926460.75,12.343063354492188,,,,,8.9
1727926460.8,11.89594268798828,,,,,8.95
1727926460.85,11.262298583984377,,,,,9.0
1727926460.9,10.879051208496094,,,,,9.05
1727926460.95,10.4447021484375,,,,,9.1
1727926461.0,10.286293029785156,,,,,9.15
1727926461.05,10.199424743652344,,,,,9.2
1727926461.1,10.148323059082031,,,,,9.25
1727926461.15,10.038459777832031,,,,,9.3
1727926461.2,9.995025634765623,,,,,9.35
1727926461.25,10.046119689941406,,,,,9.4
1727926461.3,10.201980590820312,,,,,9.45
1727926461.35,10.488136291503906,,,,,9.5
1727926461.4,10.546905517578123,,,,,9.55
1727926461.45,10.508575439453123,,,,,9.6
1727926461.5,10.526458740234377,,,,,9.65
1727926461.55,10.659324645996094,,,,,9.7
1727926461.6,10.79473876953125,,,,,9.75
1727926461.65,10.927597045898438,,,,,9.8
1727926461.7,10.9224853515625,,,,,9.85
1727926461.75,10.781959533691406,,,,,9.9
1727926461.8,10.626106262207031,,,,,9.95
1727926461.85,10.385940551757812,,,,,10.0
