Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1720757959.7,4.8569183349609375,,0.0
1720757959.75,4.785377502441406,,0.05
1720757959.8,4.764938354492188,,0.1
1720757959.85,4.787933349609375,,0.15
1720757959.9,4.803260803222656,,0.2
1720757959.95,4.803260803222656,,0.25
1720757960.0,4.862030029296875,,0.3
1720757960.05,5.0306549072265625,,0.35
1720757960.1,5.648963928222656,,0.4
1720757960.15,6.2647247314453125,,0.45
1720757960.2,7.2432861328125,,0.5
1720757960.25,7.859039306640625,,0.55
1720757960.3,8.842720031738281,,0.6
1720757960.35,9.701194763183594,,0.65
1720757960.4,11.354278564453123,,0.7
1720757960.45,12.44782257080078,,0.75
1720757960.5,13.814743041992188,,0.8
1720757960.55,14.67578125,,0.85
1720757960.6,15.904739379882812,,0.9
1720757960.65,16.60991668701172,,0.95
1720757960.7,17.539939880371094,,1.0
1720757960.75,17.987060546875,,1.05
1720757960.8,18.44696044921875,,1.1
1720757960.85,18.717788696289062,,1.15
1720757960.9,18.973289489746097,,1.2
1720757960.95,19.011619567871097,,1.25
1720757961.0,18.863426208496097,,1.3
1720757961.05,18.6488037109375,,1.35
1720757961.1,18.27832794189453,,1.4
1720757961.15,18.09436798095703,,1.45
1720757961.2,17.790328979492188,,1.5
1720757961.25,17.514389038085938,,1.55
1720757961.3,17.225669860839844,,1.6
1720757961.35,17.018714904785156,,1.65
1720757961.4,16.548599243164062,,1.7
1720757961.45,16.213890075683594,,1.75
1720757961.5,15.633903503417969,,1.8
1720757961.55,15.09735870361328,,1.85
1720757961.6,13.891395568847656,,1.9
1720757961.65,12.900054931640623,,1.95
1720757961.7,11.479476928710938,,2.0
1720757961.75,10.656768798828123,,2.05
1720757961.8,9.632209777832031,,2.1
1720757961.85,9.06755828857422,,2.15
1720757961.9,8.3470458984375,,2.2
1720757961.95,7.953575134277344,,2.25
1720757962.0,7.465568542480469,,2.3
1720757962.05,7.169189453125,,2.35
1720757962.1,6.722068786621094,,2.4
1720757962.15,6.433349609375,,2.45
1720757962.2,6.001556396484375,,2.5
1720757962.25,5.740943908691406,,2.55
1720757962.3,5.3806915283203125,,2.6
1720757962.35,5.166069030761719,,2.65
1720757962.4,4.895240783691406,,2.7
1720757962.45,4.731719970703125,,2.75
1720757962.5,4.5196533203125,,2.8
1720757962.55,4.402130126953125,,2.85
1720757962.6,4.223274230957031,,2.9
1720757962.65,4.105743408203125,,2.95
1720757962.7,3.9345626831054688,,3.0
1720757962.75,3.84002685546875,,3.05
1720757962.8,3.727607727050781,,3.1
1720757962.85,3.663734436035156,,3.15
1720757962.9,3.5768585205078125,,3.2
1720757962.95,3.5410919189453125,,3.25
1720757963.0,3.530868530273437,,3.3
1720757963.05,3.535980224609375,,3.35
1720757963.1,3.5232086181640625,,3.4
1720757963.15,3.5334243774414062,,3.45
1720757963.2,3.645843505859375,,3.5
1720757963.25,3.7787094116210938,,3.55
1720757963.3,4.215614318847656,,3.6
1720757963.35,4.731719970703125,,3.65
1720757963.4,5.758834838867188,,3.7
1720757963.45,6.45124053955078,,3.75
1720757963.5,7.26116943359375,,3.8
1720757963.55,7.744064331054688,,3.85
1720757963.6,8.574440002441406,,3.9
1720757963.65,9.167198181152346,,3.95
1720757963.7,10.09466552734375,,4.0
1720757963.75,10.771743774414062,,4.05
1720757963.8,11.883163452148438,,4.1
1720757963.85,12.616455078125,,4.15
1720757963.9,13.584793090820312,,4.2
1720757963.95,14.279754638671877,,4.25
1720757964.0,15.572586059570312,,4.3
1720757964.05,16.489830017089844,,4.35
1720757964.1,17.652359008789062,,4.4
1720757964.15,18.22723388671875,,4.45
1720757964.2,18.855758666992188,,4.5
1720757964.25,19.172584533691406,,4.55
1720757964.3,19.56605529785156,,4.6
1720757964.35,19.78578186035156,,4.65
1720757964.4,19.946746826171875,,4.7
1720757964.45,19.84709930419922,,4.75
1720757964.5,19.47407531738281,,4.8
1720757964.55,19.17768859863281,,4.85
1720757964.6,18.674354553222656,,4.9
1720757964.65,18.349868774414062,,4.95
1720757964.7,17.864418029785156,,5.0
1720757964.75,17.442848205566406,,5.05
1720757964.8,16.68401336669922,,5.1
1720757964.85,16.078475952148438,,5.15
1720757964.9,14.972160339355469,,5.2
1720757964.95,14.10346221923828,,5.25
1720757965.0,12.749313354492188,,5.3
1720757965.05,11.949600219726562,,5.35
1720757965.1,10.945480346679688,,5.4
1720757965.15,10.383384704589844,,5.45
1720757965.2,9.61943817138672,,5.5
1720757965.25,9.144203186035156,,5.55
1720757965.3,8.543785095214844,,5.6
1720757965.35,8.193748474121094,,5.65
1720757965.4,7.636756896972656,,5.7
1720757965.45,7.289276123046875,,5.75
1720757965.5,6.86003875732422,,5.8
1720757965.55,6.607093811035156,,5.85
1720757965.6,6.259613037109375,,5.9
1720757965.65,6.0347747802734375,,5.95
1720757965.7,5.740943908691406,,6.0
1720757965.75,5.5927581787109375,,6.05
1720757965.8,5.401130676269531,,6.1
1720757965.85,5.281044006347656,,6.15
1720757965.9,5.081756591796875,,6.2
1720757965.95,4.923347473144531,,6.25
1720757966.0,4.706169128417969,17.328519821166992,6.3
1720757966.05,4.57586669921875,,6.35
1720757966.1,4.402130126953125,,6.4
1720757966.15,4.320365905761719,,6.45
1720757966.2,4.24371337890625,,6.5
1720757966.25,4.200279235839844,,6.55
1720757966.3,4.1517333984375,,6.6
1720757966.35,4.149185180664063,,6.65
1720757966.4,4.2309417724609375,,6.7
1720757966.45,4.368911743164063,,6.75
1720757966.5,4.657630920410156,,6.8
1720757966.55,4.9667816162109375,,6.85
1720757966.6,5.738395690917969,,6.9
1720757966.65,6.425689697265625,,6.95
1720757966.7,7.491119384765625,,7.0
1720757966.75,8.078773498535156,,7.05
1720757966.8,8.809501647949219,,7.1
1720757966.85,9.261734008789062,,7.15
1720757966.9,9.920928955078123,,7.2
1720757966.95,10.419151306152344,,7.25
1720757967.0,11.31084442138672,,7.3
1720757967.05,11.9521484375,,7.35
1720757967.1,12.92560577392578,,7.4
1720757967.15,13.584793090820312,,7.45
1720757967.2,14.62212371826172,,7.5
1720757967.25,15.35796356201172,,7.55
1720757967.3,16.520492553710938,,7.6
1720757967.35,17.32787322998047,,7.65
1720757967.4,18.602813720703125,,7.7
1720757967.45,19.466407775878903,,7.75
1720757967.5,20.519065856933597,,7.8
1720757967.55,20.96619415283203,,7.85
1720757967.6,21.33921813964844,,7.9
1720757967.65,21.42609405517578,,7.95
1720757967.7,21.32389068603516,,8.0
1720757967.75,21.10926818847656,,8.05
1720757967.8,20.54206085205078,,8.1
1720757967.85,20.08216094970703,,8.15
1720757967.9,19.412750244140625,,8.2
1720757967.95,18.991172790527344,,8.25
1720757968.0,18.35498046875,,8.3
1720757968.05,17.882308959960938,,8.35
1720757968.1,17.08514404296875,,8.4
1720757968.15,16.451507568359375,,8.45
1720757968.2,15.158676147460938,,8.5
1720757968.25,14.164779663085938,,8.55
1720757968.3,12.838737487792969,,8.6
1720757968.35,12.128448486328123,,8.65
1720757968.4,11.280189514160156,,8.7
1720757968.45,10.71808624267578,,8.75
1720757968.5,9.846832275390623,,8.8
1720757968.55,9.363937377929688,,8.85
1720757968.6,8.740516662597656,,8.9
1720757968.65,8.352157592773438,,8.95
1720757968.7,7.833488464355469,,9.0
1720757968.75,7.529449462890625,,9.05
1720757968.8,7.14875030517578,,9.1
1720757968.85,6.900917053222656,,9.15
