,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
15861,1706148932.05,3.2370452880859375,,0.0
15862,1706148932.1,3.3877944946289062,,0.04999995231628418
15863,1706148932.15,3.5615310668945312,,0.10000014305114746
15864,1706148932.2,3.850250244140625,,0.15000009536743164
15865,1706148932.25,3.995880126953125,,0.20000004768371582
15866,1706148932.3,4.24626922607422,,0.25
15867,1706148932.35,4.473663330078125,,0.2999999523162842
15868,1706148932.4,4.8109283447265625,,0.35000014305114746
15869,1706148932.45,4.9770050048828125,,0.40000009536743164
15870,1706148932.5,5.166069030761719,,0.4500000476837158
15871,1706148932.55,5.245277404785156,,0.5
15872,1706148932.6,5.332145690917969,,0.5499999523162842
15873,1706148932.65,5.367919921875,,0.6000001430511475
15874,1706148932.7,5.247833251953125,,0.6500000953674316
15875,1706148932.75,5.028099060058594,,0.7000000476837158
15876,1706148932.8,4.711280822753906,,0.75
15877,1706148932.85,4.57586669921875,,0.7999999523162842
15878,1706148932.9,4.50432586669922,,0.8500001430511475
15879,1706148932.95,4.57586669921875,,0.9000000953674316
15880,1706148933.0,4.72406005859375,,0.9500000476837158
15881,1706148933.05,4.7777099609375,,1.0
15882,1706148933.1,4.757270812988281,,1.0499999523162842
15883,1706148933.15,4.639739990234375,,1.1000001430511475
15884,1706148933.2,4.4506683349609375,,1.1500000953674316
15885,1706148933.25,4.435340881347656,,1.2000000476837158
15886,1706148933.3,4.532432556152344,,1.25
15887,1706148933.35,4.603973388671875,,1.2999999523162842
15888,1706148933.4,4.698509216308594,,1.3500001430511475
15889,1706148933.45,4.7189483642578125,,1.4000000953674316
15890,1706148933.5,4.711280822753906,,1.4500000476837158
15891,1706148933.55,4.68317413330078,,1.5
15892,1706148933.6,4.634635925292969,,1.5499999523162842
15893,1706148933.65,4.637184143066406,,1.6000001430511475
15894,1706148933.7,4.675514221191406,,1.6500000953674316
15895,1706148933.75,4.7189483642578125,,1.7000000476837158
15896,1706148933.8,4.808372497558594,,1.75
15897,1706148933.85,4.859474182128906,,1.7999999523162842
15898,1706148933.9,4.787933349609375,,1.8500001430511475
15899,1706148933.95,4.695953369140625,,1.9000000953674316
15900,1706148934.0,4.6090850830078125,,1.9500000476837158
15901,1706148934.05,4.5630950927734375,,2.0
15902,1706148934.1,4.522209167480469,,2.049999952316284
15903,1706148934.15,4.48388671875,,2.1000001430511475
15904,1706148934.2,4.39190673828125,,2.1500000953674316
15905,1706148934.25,4.3970184326171875,,2.200000047683716
15906,1706148934.3,4.509437561035156,,2.25
15907,1706148934.35,4.5528717041015625,,2.299999952316284
15908,1706148934.4,4.476219177246094,,2.3500001430511475
15909,1706148934.45,4.39190673828125,,2.4000000953674316
15910,1706148934.5,4.361244201660156,,2.450000047683716
15911,1706148934.55,4.4097900390625,,2.5
15912,1706148934.6,4.4481201171875,,2.549999952316284
15913,1706148934.65,4.420013427734375,,2.6000001430511475
15914,1706148934.7,4.3586883544921875,,2.6500000953674316
15915,1706148934.75,4.2871551513671875,,2.700000047683716
15916,1706148934.8,4.13640594482422,,2.75
15917,1706148934.85,4.0827484130859375,,2.799999952316284
15918,1706148934.9,3.980552673339844,,2.8500001430511475
15919,1706148934.95,3.873245239257813,,2.9000000953674316
15920,1706148935.0,3.8017044067382817,,2.950000047683716
15921,1706148935.05,3.7889251708984375,,3.0
15922,1706148935.1,3.7454910278320312,,3.049999952316284
15923,1706148935.15,3.7633743286132817,,3.1000001430511475
15924,1706148935.2,3.837471008300781,,3.1500000953674316
15925,1706148935.25,3.873245239257813,,3.200000047683716
15926,1706148935.3,3.909011840820313,,3.25
15927,1706148935.35,3.921783447265625,,3.299999952316284
15928,1706148935.4,3.980552673339844,,3.3500001430511475
15929,1706148935.45,4.054649353027344,,3.4000000953674316
15930,1706148935.5,4.1287384033203125,,3.450000047683716
15931,1706148935.55,4.154289245605469,,3.5
15932,1706148935.6,4.179840087890625,,3.549999952316284
15933,1706148935.65,4.1517333984375,,3.6000001430511475
15934,1706148935.7,4.13385009765625,,3.6500000953674316
15935,1706148935.75,4.164512634277344,,3.700000047683716
15936,1706148935.8,4.26416015625,,3.75
15937,1706148935.85,4.4097900390625,,3.799999952316284
15938,1706148935.9,4.601417541503906,,3.8500001430511475
15939,1706148935.95,4.601417541503906,,3.9000000953674316
15940,1706148936.0,4.5528717041015625,,3.950000047683716
15941,1706148936.05,4.588645935058594,,4.0
15942,1706148936.1,4.555427551269531,,4.049999952316284
15943,1706148936.15,4.4711151123046875,,4.1000001430511475
15944,1706148936.2,4.39190673828125,,4.150000095367432
15945,1706148936.25,4.371467590332031,,4.200000047683716
15946,1706148936.3,4.420013427734375,,4.25
15947,1706148936.35,4.4711151123046875,,4.299999952316284
15948,1706148936.4,4.4149017333984375,,4.3500001430511475
15949,1706148936.45,4.3050384521484375,,4.400000095367432
15950,1706148936.5,4.238609313964844,,4.450000047683716
15951,1706148936.55,4.238609313964844,,4.5
15952,1706148936.6,4.24371337890625,,4.549999952316284
15953,1706148936.65,4.177284240722656,,4.6000001430511475
15954,1706148936.7,4.02398681640625,,4.650000095367432
15955,1706148936.75,4.034210205078125,,4.700000047683716
15956,1706148936.8,4.1849517822265625,,4.75
15957,1706148936.85,4.2999267578125,,4.799999952316284
15958,1706148936.9,4.399574279785156,,4.8500001430511475
15959,1706148936.95,4.371467590332031,,4.900000095367432
15960,1706148937.0,4.3408050537109375,,4.950000047683716
15961,1706148937.05,4.407234191894531,,5.0
15962,1706148937.1,4.430229187011719,,5.049999952316284
15963,1706148937.15,4.422569274902344,,5.1000001430511475
15964,1706148937.2,4.509437561035156,,5.150000095367432
15965,1706148937.25,4.61418914794922,,5.200000047683716
15966,1706148937.3,4.8109283447265625,,5.25
15967,1706148937.35,4.971893310546875,,5.299999952316284
15968,1706148937.4,5.2248382568359375,,5.3500001430511475
15969,1706148937.45,5.339813232421875,,5.400000095367432
15970,1706148937.5,5.24016571044922,,5.450000047683716
15971,1706148937.55,4.98210906982422,,5.5
15972,1706148937.6,4.665290832519531,,5.549999952316284
15973,1706148937.65,4.603973388671875,,5.6000001430511475
15974,1706148937.7,4.586090087890625,,5.650000095367432
15975,1706148937.75,4.5707550048828125,,5.700000047683716
15976,1706148937.8,4.578422546386719,,5.75
15977,1706148937.85,4.6090850830078125,,5.799999952316284
15978,1706148937.9,4.634635925292969,,5.8500001430511475
15979,1706148937.95,4.6269683837890625,,5.900000095367432
15980,1706148938.0,4.529876708984375,,5.950000047683716
15981,1706148938.05,4.4711151123046875,,6.0
15982,1706148938.1,4.46344757080078,,6.049999952316284
15983,1706148938.15,4.417457580566406,,6.1000001430511475
15984,1706148938.2,4.335693359375,,6.150000095367432
15985,1706148938.25,4.343360900878906,,6.200000047683716
15986,1706148938.3,4.35358428955078,,6.25
15987,1706148938.35,4.335693359375,,6.299999952316284
15988,1706148938.4,4.215614318847656,,6.3500001430511475
15989,1706148938.45,4.1031951904296875,,6.400000095367432
15990,1706148938.5,4.021430969238281,,6.450000047683716
15991,1706148938.55,4.008659362792969,,6.5
15992,1706148938.6,3.9626693725585938,,6.549999952316284
15993,1706148938.65,3.886016845703125,,6.6000001430511475
15994,1706148938.7,3.806808471679687,,6.650000095367432
15995,1706148938.75,3.806808471679687,,6.700000047683716
15996,1706148938.8,3.868133544921875,,6.75
15997,1706148938.85,3.9294509887695312,,6.799999952316284
15998,1706148938.9,3.995880126953125,,6.8500001430511475
15999,1706148938.95,4.0009918212890625,,6.900000095367432
16000,1706148939.0,3.947334289550781,15.086207389831545,6.950000047683716
16001,1706148939.05,3.832359313964844,,7.0
16002,1706148939.1,3.76593017578125,,7.049999952316284
16003,1706148939.15,3.661178588867187,,7.1000001430511475
16004,1706148939.2,3.6049652099609375,,7.150000095367432
16005,1706148939.25,3.592193603515625,,7.200000047683716
16006,1706148939.3,3.5640869140625,,7.25
16007,1706148939.35,3.428672790527344,,7.299999952316284
16008,1706148939.4,3.380126953125,,7.3500001430511475
16009,1706148939.45,3.4388885498046875,,7.400000095367432
16010,1706148939.5,3.482330322265625,,7.450000047683716
16011,1706148939.55,3.4848785400390625,,7.5
16012,1706148939.6,3.479774475097656,,7.549999952316284
16013,1706148939.65,3.479774475097656,,7.6000001430511475
16014,1706148939.7,3.4669952392578125,,7.650000095367432
16015,1706148939.75,3.4210052490234375,,7.700000047683716
16016,1706148939.8,3.3877944946289062,,7.75
16017,1706148939.85,3.3085861206054688,,7.799999952316284
16018,1706148939.9,3.2114944458007812,,7.8500001430511475
16019,1706148939.95,3.0633087158203125,,7.900000095367432
16020,1706148940.0,3.0147628784179688,,7.950000047683716
16021,1706148940.05,2.99432373046875,,8.0
16022,1706148940.1,2.9994354248046875,,8.049999952316284
16023,1706148940.15,2.9968795776367188,,8.100000143051147
16024,1706148940.2,2.9687728881835938,,8.150000095367432
16025,1706148940.25,2.9329986572265625,,8.200000047683716
16026,1706148940.3,2.9227828979492188,,8.25
16027,1706148940.35,2.9253387451171875,,8.299999952316284
16028,1706148940.4,2.9355545043945312,,8.350000143051147
16029,1706148940.45,2.9253387451171875,,8.400000095367432
16030,1706148940.5,2.892120361328125,,8.450000047683716
16031,1706148940.55,2.8486862182617188,,8.5
16032,1706148940.6,2.8333587646484375,,8.549999952316284
16033,1706148940.65,2.8308029174804688,,8.600000143051147
16034,1706148940.7,2.8410186767578125,,8.650000095367432
16035,1706148940.75,2.8282470703125,,8.700000047683716
16036,1706148940.8,2.800140380859375,,8.75
16037,1706148940.85,2.7899246215820312,,8.799999952316284
16038,1706148940.9,2.8052520751953125,,8.850000143051147
16039,1706148940.95,2.8308029174804688,,8.900000095367432
16040,1706148941.0,2.8333587646484375,,8.950000047683716
16041,1706148941.05,2.81036376953125,,9.0
16042,1706148941.1,2.802696228027344,,9.049999952316284
16043,1706148941.15,2.8205795288085938,,9.100000143051147
16044,1706148941.2,2.8359146118164062,,9.150000095367432
16045,1706148941.25,2.856353759765625,,9.200000047683716
16046,1706148941.3,2.8614654541015625,,9.25
16047,1706148941.35,2.8308029174804688,,9.299999952316284
16048,1706148941.4,2.7873687744140625,,9.350000143051147
