Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Data Set 2:Time(s),Data Set 2:Force(N),Data Set 2:Respiration Rate(bpm),time
1727926360.85,14.614463806152344,,,,,0.0
1727926360.9,14.167335510253906,,,,,0.05
1727926360.95,13.29352569580078,,,,,0.1
1727926361.0,12.680328369140623,,,,,0.15
1727926361.05,11.885719299316406,,,,,0.2
1727926361.1,11.45903778076172,,,,,0.25
1727926361.15,10.858612060546877,,,,,0.3
1727926361.2,10.46258544921875,,,,,0.35
1727926361.25,9.964363098144531,,,,,0.4
1727926361.3,9.632209777832031,,,,,0.45
1727926361.35,9.085441589355469,,,,,0.5
1727926361.4,8.773735046386719,,,,,0.55
1727926361.45,8.395591735839844,,,,,0.6
1727926361.5,8.178413391113281,,,,,0.65
1727926361.55,7.915252685546875,,,,,0.7
1727926361.6,7.833488464355469,,,,,0.75
1727926361.65,7.8692626953125,,,,,0.8
1727926361.7,7.9280242919921875,,,,,0.85
1727926361.75,8.014900207519531,,,,,0.9
1727926361.8,8.119651794433594,,,,,0.95
1727926361.85,8.393035888671875,,,,,1.0
1727926361.9,8.617874145507812,,,,,1.05
1727926361.95,9.039451599121092,,,,,1.1
1727926362.0,9.261734008789062,,,,,1.15
1727926362.05,9.563224792480469,,,,,1.2
1727926362.1,10.035903930664062,,,,,1.25
1727926362.15,11.147323608398438,,,,,1.3
1727926362.2,11.757972717285156,,,,,1.35
1727926362.25,12.539802551269531,,,,,1.4
1727926362.3,13.283309936523438,,,,,1.45
1727926362.35,14.448387145996094,,,,,1.5
1727926362.4,15.217445373535156,,,,,1.55
1727926362.45,16.492385864257812,,,,,1.6
1727926362.5,17.38152313232422,,,,,1.65
1727926362.55,18.636032104492188,,,,,1.7
1727926362.6,19.35143280029297,,,,,1.75
1727926362.65,20.22013092041016,,,,,1.8
1727926362.7,20.720909118652344,,,,,1.85
1727926362.75,21.346885681152344,,,,,1.9
1727926362.8,21.653488159179688,,,,,1.95
1727926362.85,21.875770568847656,,,,,2.0
1727926362.9,21.79401397705078,,,,,2.05
1727926362.95,21.47718811035156,,,,,2.1
1727926363.0,21.22679901123047,,,,,2.15
1727926363.05,20.78223419189453,,,,,2.2
1727926363.1,20.391319274902344,,,,,2.25
1727926363.15,19.458740234375,,,,,2.3
1727926363.2,18.53638458251953,,,,,2.35
1727926363.25,16.949729919433594,,,,,2.4
1727926363.3,15.90729522705078,,,,,2.45
1727926363.35,14.392173767089844,,,,,2.5
1727926363.4,13.44427490234375,,,,,2.55
1727926363.45,12.33795928955078,,,,,2.6
1727926363.5,11.783523559570312,,,,,2.65
1727926363.55,10.912269592285156,,,,,2.7
1727926363.6,10.293960571289062,,,,,2.75
1727926363.65,9.54022979736328,,,,,2.8
1727926363.7,9.154426574707031,,,,,2.85
1727926363.75,8.737960815429688,,,,,2.9
1727926363.8,8.612770080566406,,,,,2.95
1727926363.85,8.740516662597656,,,,,3.0
1727926363.9,8.965354919433594,,,,,3.05
1727926363.95,9.151870727539062,,,,,3.1
1727926364.0,9.14165496826172,,,,,3.15
1727926364.05,9.039451599121092,,,,,3.2
1727926364.1,8.965354919433594,,,,,3.25
1727926364.15,8.965354919433594,,,,,3.3
1727926364.2,9.052223205566406,,,,,3.35
1727926364.25,9.24640655517578,,,,,3.4
1727926364.3,9.146759033203123,,,,,3.45
1727926364.35,8.602546691894531,,,,,3.5
1727926364.4,8.311279296875,,,,,3.55
1727926364.45,8.152870178222656,,,,,3.6
1727926364.5,8.334274291992188,,,,,3.65
1727926364.55,9.197860717773438,,,,,3.7
1727926364.6,9.897933959960936,,,,,3.75
1727926364.65,10.631217956542969,,,,,3.8
1727926364.7,10.973587036132812,,,,,3.85
1727926364.75,11.648109436035156,,,,,3.9
1727926364.8,12.343063354492188,,,,,3.95
1727926364.85,13.579689025878906,,,,,4.0
1727926364.9,14.351295471191406,,,,,4.05
1727926364.95,15.605804443359377,,,,,4.1
1727926365.0,16.57159423828125,,,,,4.15
1727926365.05,18.012611389160156,,,,,4.2
1727926365.1,18.952850341796875,,,,,4.25
1727926365.15,20.335105895996097,,,,,4.3
1727926365.2,21.196144104003903,,,,,4.35
1727926365.25,22.36377716064453,,,,,4.4
1727926365.3,22.93354034423828,,,,,4.45
1727926365.35,22.716365814208984,,,,,4.5
1727926365.4,21.75823974609375,,,,,4.55
1727926365.45,20.28656005859375,,,,,4.6
1727926365.5,19.783226013183597,,,,,4.65
1727926365.55,19.453628540039062,,,,,4.7
1727926365.6,19.31310272216797,,,,,4.75
1727926365.65,19.187911987304688,,,,,4.8
1727926365.7,19.14703369140625,,,,,4.85
1727926365.75,19.01927947998047,,,,,4.9
1727926365.8,18.883865356445312,,,,,4.95
1727926365.85,18.664138793945312,,,,,5.0
1727926365.9,18.53638458251953,,,,,5.05
1727926365.95,18.296218872070312,,,,,5.1
1727926366.0,17.994728088378906,,,,,5.15
1727926366.05,17.63957977294922,,,,,5.2
1727926366.1,17.557823181152344,,,,,5.25
1727926366.15,17.059593200683594,,,,,5.3
1727926366.2,16.47705841064453,,,,,5.35
1727926366.25,15.756546020507812,,,,,5.4
1727926366.3,15.380958557128906,,,,,5.45
1727926366.35,14.701332092285156,,,,,5.5
1727926366.4,14.113677978515623,,,,,5.55
1727926366.45,13.030364990234377,,,,,5.6
1727926366.5,12.182098388671877,,,,,5.65
1727926366.55,10.955703735351562,,,,,5.7
1727926366.6,10.403823852539062,,,,,5.75
1727926366.65,10.099777221679688,,,,,5.8
1727926366.7,10.112548828125,,,,,5.85
1727926366.75,10.291404724121094,,,,,5.9
1727926366.8,10.406379699707031,,,,,5.95
1727926366.85,10.39104461669922,,,,,6.0
1727926366.9,10.227523803710938,,,,,6.05
1727926366.95,9.808509826660156,,,,,6.1
1727926367.0,9.54278564453125,,,,,6.15
1727926367.05,9.312835693359377,,,,,6.2
1727926367.1,9.200416564941406,,,,,6.25
1727926367.15,9.06755828857422,,,,,6.3
1727926367.2,9.0828857421875,,,,,6.35
1727926367.25,9.072669982910156,,,,,6.4
1727926367.3,8.896369934082031,,,,,6.45
1727926367.35,8.462020874023438,,,,,6.5
1727926367.4,8.196304321289062,,,,,6.55
1727926367.45,8.004676818847656,,,,,6.6
1727926367.5,7.976570129394531,,,,,6.65
1727926367.55,7.981681823730469,,,,,6.7
1727926367.6,8.025115966796875,,,,,6.75
1727926367.65,8.293388366699219,,,,,6.8
1727926367.7,8.814613342285156,,,,,6.85
1727926367.75,10.201980590820312,,,,,6.9
1727926367.8,11.244415283203123,,,,,6.95
1727926367.85,12.56279754638672,,,,,7.0
1727926367.9,13.33184814453125,,,,,7.05
1727926367.95,14.494377136230469,,,,,7.1
1727926368.0,14.900619506835938,,,,,7.15
1727926368.05,14.737098693847656,,,,,7.2
1727926368.1,14.708999633789062,,,,,7.25
1727926368.15,15.43206024169922,,,,,7.3
1727926368.2,16.270103454589844,,,,,7.35
1727926368.25,17.4351806640625,,,,,7.4
1727926368.3,17.85931396484375,,,,,7.45
1727926368.35,17.958953857421875,,,,,7.5
1727926368.4,18.02793884277344,,,,,7.55
1727926368.45,18.492950439453125,,,,,7.6
1727926368.5,19.01927947998047,,,,,7.65
1727926368.55,20.025955200195312,,,,,7.7
1727926368.6,20.70813751220703,,,,,7.75
1727926368.65,21.47974395751953,,,,,7.8
1727926368.7,21.70203399658203,,,,,7.85
1727926368.75,21.676483154296875,,,,,7.9
1727926368.8,21.70203399658203,,,,,7.95
1727926368.85,21.977970123291016,,,,,8.0
1727926368.9,22.064842224121097,,,,,8.05
1727926368.95,21.870662689208984,,,,,8.1
1727926369.0,21.60238647460937,,,,,8.15
1727926369.05,20.863990783691406,,,,,8.2
1727926369.1,20.059165954589844,,,,,8.25
1727926369.15,18.214454650878903,,,,,8.3
1727926369.2,16.55115509033203,,,,,8.35
1727926369.25,13.93994140625,,,,,8.4
1727926369.3,12.419715881347656,,,,,8.45
1727926369.35,10.623550415039062,,,,,8.5
1727926369.4,9.701194763183594,,,,,8.55
1727926369.45,8.638313293457031,,,,,8.6
1727926369.5,8.086433410644531,,,,,8.65
1727926369.55,7.3531494140625,,,,,8.7
1727926369.6,6.906028747558594,,,,,8.75
1727926369.65,6.30560302734375,,,,,8.8
1727926369.7,5.968345642089844,,,,,8.85
1727926369.75,5.73583984375,,,,,8.9
1727926369.8,5.774162292480469,,,,,8.95
1727926369.85,5.965789794921875,,,,,9.0
1727926369.9,6.090980529785156,,,,,9.05
1727926369.95,6.12419891357422,,,,,9.1
1727926370.0,6.078208923339844,27.158775329589844,,,,9.15
1727926370.05,6.016883850097656,,,,,9.2
1727926370.1,5.993888854980469,,,,,9.25
1727926370.15,5.9964447021484375,,,,,9.3
1727926370.2,6.0347747802734375,,,,,9.35
1727926370.25,6.136970520019531,,,,,9.4
1727926370.3,6.198295593261719,,,,,9.45
1727926370.35,6.290275573730469,,,,,9.5
1727926370.4,6.407798767089844,,,,,9.55
1727926370.45,6.847259521484375,,,,,9.6
1727926370.5,7.440025329589843,,,,,9.65
1727926370.55,8.812057495117188,,,,,9.7
1727926370.6,9.841720581054688,,,,,9.75
1727926370.65,11.096229553222656,,,,,9.8
1727926370.7,11.660881042480469,,,,,9.85
1727926370.75,12.567909240722656,,,,,9.9
1727926370.8,13.33184814453125,,,,,9.95
1727926370.85,14.458610534667969,,,,,10.0
1727926370.9,15.196998596191406,,,,,10.05
1727926370.95,16.502609252929688,,,,,10.1
1727926371.0,17.588478088378906,,,,,10.15
1727926371.05,19.29266357421875,,,,,10.2
1727926371.1,20.393875122070312,,,,,10.25
1727926371.15,22.22325134277344,,,,,10.3
1727926371.2,23.72303771972656,,,,,10.35
1727926371.25,26.538646697998047,,,,,10.4
1727926371.3,28.534099578857425,,,,,10.45
1727926371.35,30.97157287597656,,,,,10.5
1727926371.4,32.28228759765625,,,,,10.55
