Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
6792,1712519430.6,8.221855163574217,,0.0
6793,1712519430.65,8.671531677246092,,0.0500001907348632
6794,1712519430.7,8.952583312988281,,0.1000001430511474
6795,1712519430.75,9.501907348632812,,0.1500000953674316
6796,1712519430.8,9.926040649414062,,0.2000000476837158
6797,1712519430.85,10.638885498046877,,0.25
6798,1712519430.9,11.093673706054688,,0.3000001907348633
6799,1712519430.95,11.67876434326172,,0.3500001430511474
6800,1712519431.0,11.995590209960938,13.803681373596191,0.4000000953674316
6801,1712519431.05,12.30474090576172,,0.4500000476837158
6802,1712519431.1,12.102897644042969,,0.5
6803,1712519431.15,10.98125457763672,,0.5500001907348633
6804,1712519431.2,10.127883911132812,,0.6000001430511475
6805,1712519431.25,9.348609924316406,,0.6500000953674316
6806,1712519431.3,9.187644958496092,,0.7000000476837158
6807,1712519431.35,9.054779052734377,,0.75
6808,1712519431.4,8.965354919433594,,0.8000001907348633
6809,1712519431.45,9.215744018554688,,0.8500001430511475
6810,1712519431.5,9.586219787597656,,0.9000000953674316
6811,1712519431.55,9.693534851074215,,0.9500000476837158
6812,1712519431.6,9.292396545410156,,1.0
6813,1712519431.65,8.758399963378906,,1.0500001907348633
6814,1712519431.7,8.819725036621094,,1.1000001430511477
6815,1712519431.75,9.228523254394531,,1.1500000953674316
6816,1712519431.8,9.440589904785154,,1.2000000476837158
6817,1712519431.85,9.5606689453125,,1.25
6818,1712519431.9,9.629653930664062,,1.3000001907348633
6819,1712519431.95,9.670539855957031,,1.3500001430511477
6820,1712519432.0,9.514678955078123,,1.4000000953674316
6821,1712519432.05,8.860603332519531,,1.4500000476837158
6822,1712519432.1,8.239738464355469,,1.5
6823,1712519432.15,7.480903625488281,,1.5500001907348633
6824,1712519432.2,7.194740295410156,,1.6000001430511477
6825,1712519432.25,6.972457885742188,,1.6500000953674316
6826,1712519432.3,6.849815368652344,,1.7000000476837158
6827,1712519432.35,6.584098815917969,,1.75
6828,1712519432.4,6.3745880126953125,,1.8000001907348633
6829,1712519432.45,6.136970520019531,,1.8500001430511477
6830,1712519432.5,6.239173889160156,,1.900000095367432
6831,1712519432.55,6.711845397949219,,1.950000047683716
6832,1712519432.6,7.07465362548828,,2.0
6833,1712519432.65,7.779838562011719,,2.0500001907348637
6834,1712519432.7,8.359825134277344,,2.1000001430511475
6835,1712519432.75,9.369049072265623,,2.150000095367432
6836,1712519432.8,10.066558837890623,,2.200000047683716
6837,1712519432.85,11.01702117919922,,2.25
6838,1712519432.9,11.507583618164062,,2.3000001907348637
6839,1712519432.95,11.757972717285156,,2.3500001430511475
6840,1712519433.0,11.282745361328123,,2.400000095367432
6841,1712519433.05,10.048675537109377,,2.450000047683716
6842,1712519433.1,9.514678955078123,,2.5
6843,1712519433.15,9.348609924316406,,2.5500001907348637
6844,1712519433.2,9.448249816894531,,2.6000001430511475
6845,1712519433.25,9.499351501464846,,2.650000095367432
6846,1712519433.3,9.463584899902346,,2.700000047683716
6847,1712519433.35,9.48402404785156,,2.75
6848,1712519433.4,9.527458190917969,,2.8000001907348637
6849,1712519433.45,9.453361511230469,,2.8500001430511475
6850,1712519433.5,9.218299865722656,,2.900000095367432
6851,1712519433.55,8.904037475585938,,2.950000047683716
6852,1712519433.6,8.845268249511719,,3.0
6853,1712519433.65,8.875930786132812,,3.0500001907348637
6854,1712519433.7,8.99090576171875,,3.1000001430511475
6855,1712519433.75,9.197860717773438,,3.150000095367432
6856,1712519433.8,9.297508239746092,,3.200000047683716
6857,1712519433.85,9.379264831542969,,3.25
6858,1712519433.9,9.39970397949219,,3.3000001907348637
6859,1712519433.95,9.146759033203123,,3.3500001430511475
6860,1712519434.0,8.704750061035154,,3.400000095367432
6861,1712519434.05,8.178413391113281,,3.450000047683716
6862,1712519434.1,8.193748474121094,,3.5
6863,1712519434.15,8.467132568359375,,3.5500001907348637
6864,1712519434.2,8.564224243164062,,3.6000001430511475
6865,1712519434.25,8.449249267578125,,3.650000095367432
6866,1712519434.3,8.2371826171875,,3.700000047683716
6867,1712519434.35,8.106880187988281,,3.75
6868,1712519434.4,8.14775848388672,,3.8000001907348633
6869,1712519434.45,7.999565124511719,,3.850000143051148
6870,1712519434.5,7.7210693359375,,3.900000095367432
6871,1712519434.55,7.401695251464845,,3.950000047683716
6872,1712519434.6,7.399139404296875,,4.0
6873,1712519434.65,7.51922607421875,,4.050000190734863
6874,1712519434.7,7.567771911621095,,4.100000143051148
6875,1712519434.75,7.465568542480467,,4.150000095367432
6876,1712519434.8,7.3403778076171875,,4.200000047683716
6877,1712519434.85,7.25861358642578,,4.25
6878,1712519434.9,7.089988708496094,,4.300000190734863
6879,1712519434.95,6.538108825683594,,4.350000143051148
6880,1712519435.0,6.208511352539063,,4.400000095367432
6881,1712519435.05,6.1395263671875,,4.450000047683716
6882,1712519435.1,6.4486846923828125,,4.5
6883,1712519435.15,7.233070373535155,,4.550000190734863
6884,1712519435.2,7.802833557128905,,4.600000143051148
6885,1712519435.25,8.740516662597656,,4.650000095367432
6886,1712519435.3,9.481468200683594,,4.700000047683716
6887,1712519435.35,10.541793823242188,,4.75
6888,1712519435.4,11.109001159667969,,4.800000190734863
6889,1712519435.45,11.540794372558594,,4.850000143051148
6890,1712519435.5,11.361946105957031,,4.900000095367432
6891,1712519435.55,10.587783813476562,,4.950000047683716
6892,1712519435.6,10.064010620117188,,5.0
6893,1712519435.65,9.46868896484375,,5.050000190734863
