Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
12914,1712516300.7,4.5247650146484375,,0.0
12915,1712516300.75,4.5349884033203125,,0.049999952316291285
12916,1712516300.8,4.511993408203125,,0.09999990463256836
12917,1712516300.85,4.532432556152344,,0.14999985694885254
12918,1712516300.9,4.634635925292969,,0.20000004768371582
12919,1712516300.95,4.75727081298828,,0.25
12920,1712516301.0,4.775154113769531,,0.2999999523162913
12921,1712516301.05,4.9259033203125,,0.34999990463256836
12922,1712516301.1,5.08942413330078,,0.39999985694885254
12923,1712516301.15,5.23760986328125,,0.4500000476837158
12924,1712516301.2,5.250389099121094,,0.5
12925,1712516301.25,5.2708282470703125,,0.5499999523162913
12926,1712516301.3,5.332145690917969,,0.5999999046325684
12927,1712516301.35,5.559539794921875,,0.6499998569488525
12928,1712516301.4,5.802268981933594,,0.7000000476837158
12929,1712516301.45,5.924903869628905,,0.75
12930,1712516301.5,5.694953918457031,,0.7999999523162913
12931,1712516301.55,5.222282409667969,,0.8499999046325684
12932,1712516301.6,5.002555847167969,,0.8999998569488525
12933,1712516301.65,4.752159118652344,,0.9500000476837158
12934,1712516301.7,4.637184143066406,,1.0
12935,1712516301.75,4.545204162597656,,1.0499999523162913
12936,1712516301.8,4.583534240722656,,1.0999999046325684
12937,1712516301.85,5.0766448974609375,,1.1499998569488596
12938,1712516301.9,5.5467681884765625,,1.2000000476837158
12939,1712516301.95,6.1165313720703125,,1.25
12940,1712516302.0,6.576431274414063,,1.2999999523162913
12941,1712516302.05,6.8523712158203125,,1.3499999046325684
12942,1712516302.1,6.918800354003905,,1.3999998569488596
12943,1712516302.15,6.619865417480469,,1.4500000476837158
12944,1712516302.2,6.239173889160156,,1.5
12945,1712516302.25,6.251945495605469,,1.5499999523162913
12946,1712516302.3,6.48700714111328,,1.5999999046325684
12947,1712516302.35,6.678634643554688,,1.6499998569488596
12948,1712516302.4,6.867698669433594,,1.7000000476837158
12949,1712516302.45,6.918800354003905,,1.75
12950,1712516302.5,6.9085845947265625,,1.7999999523162913
12951,1712516302.55,6.734840393066406,,1.8499999046325684
12952,1712516302.6,6.349037170410156,,1.8999998569488596
12953,1712516302.65,6.22895050048828,,1.9500000476837158
12954,1712516302.7,6.175300598144531,,2.0
12955,1712516302.75,6.085868835449219,,2.0499999523162913
12956,1712516302.8,5.953010559082031,,2.0999999046325684
12957,1712516302.85,5.94023895263672,,2.1499998569488596
12958,1712516302.9,5.89936065673828,,2.200000047683716
12959,1712516302.95,5.848258972167969,,2.25
12960,1712516303.0,5.75116729736328,,2.2999999523162913
12961,1712516303.05,5.684738159179688,,2.3499999046325684
12962,1712516303.1,5.733283996582031,,2.3999998569488596
12963,1712516303.15,5.855918884277344,,2.450000047683716
12964,1712516303.2,5.89936065673828,,2.5
12965,1712516303.25,5.797157287597656,,2.5499999523162913
12966,1712516303.3,5.717948913574219,,2.5999999046325684
12967,1712516303.35,5.779273986816406,,2.6499998569488596
12968,1712516303.4,5.878913879394531,,2.700000047683716
12969,1712516303.45,5.723060607910156,,2.75
12970,1712516303.5,5.0868682861328125,,2.7999999523162913
12971,1712516303.55,4.910575866699219,,2.8499999046325684
12972,1712516303.6,5.378135681152344,,2.8999998569488596
12973,1712516303.65,5.769050598144531,,2.950000047683716
12974,1712516303.7,6.216178894042969,,3.0
12975,1712516303.75,6.52532958984375,,3.0499999523162913
12976,1712516303.8,6.824264526367188,,3.0999999046325684
12977,1712516303.85,7.1385345458984375,,3.1499998569488596
12978,1712516303.9,7.1461944580078125,,3.200000047683716
12979,1712516303.95,6.653083801269531,,3.25
12980,1712516304.0,6.177848815917969,,3.2999999523162913
12981,1712516304.05,5.784385681152344,,3.3499999046325684
12982,1712516304.1,5.6745147705078125,,3.3999998569488596
12983,1712516304.15,5.49311065673828,,3.450000047683716
12984,1712516304.2,5.465003967285156,,3.5
12985,1712516304.25,5.56720733642578,,3.5499999523162913
12986,1712516304.3,5.587646484375,,3.5999999046325684
12987,1712516304.35,5.4828948974609375,,3.6499998569488596
12988,1712516304.4,5.3985748291015625,,3.700000047683716
12989,1712516304.45,5.393470764160156,,3.75
12990,1712516304.5,5.352584838867188,,3.7999999523162913
12991,1712516304.55,5.1609649658203125,,3.8499999046325684
12992,1712516304.6,5.079200744628905,,3.8999998569488596
12993,1712516304.65,5.120079040527344,,3.950000047683716
12994,1712516304.7,5.401130676269531,,4.0
12995,1712516304.75,5.694953918457031,,4.049999952316291
12996,1712516304.8,6.30815887451172,,4.099999904632568
12997,1712516304.85,6.722068786621094,,4.14999985694886
12998,1712516304.9,7.125755310058594,,4.200000047683716
12999,1712516304.95,7.097648620605469,,4.25
13000,1712516305.0,6.384803771972656,24.571853637695312,4.299999952316291
13001,1712516305.05,5.871253967285156,,4.349999904632568
13002,1712516305.1,5.694953918457031,,4.39999985694886
13003,1712516305.15,5.82526397705078,,4.450000047683716
13004,1712516305.2,6.075653076171875,,4.5
13005,1712516305.25,6.165077209472656,,4.549999952316291
13006,1712516305.3,6.170188903808594,,4.599999904632568
13007,1712516305.35,6.1344146728515625,,4.64999985694886
13008,1712516305.4,6.014335632324219,,4.700000047683716
13009,1712516305.45,5.8814697265625,,4.75
13010,1712516305.5,5.75372314453125,,4.799999952316291
13011,1712516305.55,5.75372314453125,,4.849999904632568
13012,1712516305.6,5.799713134765625,,4.89999985694886
13013,1712516305.65,5.876365661621094,,4.950000047683716
13014,1712516305.7,5.999000549316406,,5.0
