Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1727564858.45,5.005104064941406,,0.0
1727564858.5,4.9386749267578125,,0.05
1727564858.55,5.0127716064453125,,0.1
1727564858.6,5.153297424316406,,0.15
1727564858.65,5.32958984375,,0.2
1727564858.7,5.431793212890625,,0.25
1727564858.75,5.56976318359375,,0.3
1727564858.8,5.6617431640625,,0.35
1727564858.85,5.855918884277344,,0.4
1727564858.9,6.019439697265625,,0.45
1727564858.95,6.30560302734375,,0.5
1727564859.0,6.530441284179688,,0.55
1727564859.05,6.8702545166015625,,0.6
1727564859.1,7.107872009277344,,0.65
1727564859.15,7.488563537597656,,0.7
1727564859.2,7.77472686767578,,0.75
1727564859.25,8.306167602539062,,0.8
1727564859.3,8.653648376464844,,0.85
1727564859.35,9.034339904785156,,0.9
1727564859.4,9.220855712890623,,0.95
1727564859.45,9.335830688476562,,1.0
1727564859.5,9.2310791015625,,1.05
1727564859.55,8.906593322753906,,1.1
1727564859.6,8.686859130859375,,1.15
1727564859.65,8.472244262695312,,1.2
1727564859.7,8.416030883789062,,1.25
1727564859.75,8.431358337402344,,1.3
1727564859.8,8.451805114746094,,1.35
1727564859.85,8.27294921875,,1.4
1727564859.9,7.981681823730469,,1.45
1727564859.95,7.503898620605469,,1.5
1727564860.0,7.273948669433594,,1.55
1727564860.05,7.04144287109375,,1.6
1727564860.1,6.923912048339844,,1.65
1727564860.15,6.755279541015625,,1.7
1727564860.2,6.637748718261719,,1.75
1727564860.25,6.504890441894531,,1.8
1727564860.3,6.464012145996094,,1.85
1727564860.35,6.466567993164063,,1.9
1727564860.4,6.479339599609375,,1.95
1727564860.45,6.4716796875,,2.0
1727564860.5,6.4384613037109375,,2.05
1727564860.55,6.41546630859375,,2.1
1727564860.6,6.389915466308594,,2.15
1727564860.65,6.323486328125,,2.2
1727564860.7,6.277496337890625,,2.25
1727564860.75,6.182960510253906,,2.3
1727564860.8,6.159965515136719,,2.35
1727564860.85,6.236618041992188,,2.4
1727564860.9,6.272384643554688,,2.45
1727564860.95,6.223838806152344,,2.5
1727564861.0,6.162521362304688,,2.55
1727564861.05,6.0245513916015625,,2.6
1727564861.1,5.917243957519531,,2.65
1727564861.15,5.769050598144531,,2.7
1727564861.2,5.687294006347656,,2.75
1727564861.25,5.582534790039063,,2.8
1727564861.3,5.493110656738281,,2.85
1727564861.35,5.3985748291015625,,2.9
1727564861.4,5.4036865234375,,2.95
1727564861.45,5.4905548095703125,,3.0
1727564861.5,5.572319030761719,,3.05
1727564861.55,5.67962646484375,,3.1
1727564861.6,5.707733154296875,,3.15
1727564861.65,5.71794891357422,,3.2
1727564861.7,5.7767181396484375,,3.25
1727564861.75,6.0654296875,,3.3
1727564861.8,6.3643646240234375,,3.35
1727564861.85,6.791053771972656,,3.4
1727564861.9,7.013336181640625,,3.45
1727564861.95,7.248397827148437,,3.5
1727564862.0,7.434913635253905,,3.55
1727564862.05,7.991905212402344,,3.6
1727564862.1,8.566780090332031,,3.65
1727564862.15,9.363937377929688,,3.7
1727564862.2,9.68842315673828,,3.75
1727564862.25,10.030792236328123,,3.8
1727564862.3,10.253074645996094,,3.85
1727564862.35,10.71808624267578,,3.9
1727564862.4,11.208648681640623,,3.95
1727564862.45,11.908714294433594,,4.0
1727564862.5,12.217872619628906,,4.05
1727564862.55,12.516807556152344,,4.1
1727564862.6,12.67266082763672,,4.15
1727564862.65,12.940933227539062,,4.2
1727564862.7,13.07379913330078,,4.25
1727564862.75,13.063575744628906,,4.3
1727564862.8,12.88983917236328,,4.35
1727564862.85,12.529579162597656,,4.4
1727564862.9,12.2843017578125,,4.45
1727564862.95,11.929153442382812,,4.5
1727564863.0,11.75030517578125,,4.55
1727564863.05,11.499916076660156,,4.6
1727564863.1,11.315956115722656,,4.65
1727564863.15,11.05279541015625,,4.7
1727564863.2,10.90460205078125,,4.75
1727564863.25,10.802398681640623,,4.8
1727564863.3,10.71808624267578,,4.85
1727564863.35,10.35272216796875,,4.9
1727564863.4,9.923484802246092,,4.95
1727564863.45,9.187644958496092,,5.0
1727564863.5,8.804389953613281,,5.05
1727564863.55,8.418586730957031,,5.1
1727564863.6,8.234626770019531,,5.15
1727564863.65,7.9382476806640625,,5.2
1727564863.7,7.713409423828125,,5.25
1727564863.75,7.496231079101563,,5.3
1727564863.8,7.455352783203125,,5.35
1727564863.85,7.509010314941406,,5.4
1727564863.9,7.529449462890625,,5.45
1727564863.95,7.5013427734375,,5.5
1727564864.0,7.468124389648437,,5.55
1727564864.05,7.381256103515625,,5.6
1727564864.1,7.3403778076171875,,5.65
1727564864.15,7.29949951171875,,5.7
1727564864.2,7.25861358642578,,5.75
1727564864.25,7.1385345458984375,,5.8
1727564864.3,7.015892028808594,,5.85
1727564864.35,6.936683654785156,,5.9
1727564864.4,6.972457885742188,,5.95
1727564864.45,7.03888702392578,,6.0
1727564864.5,7.046554565429688,,6.05
1727564864.55,6.9264678955078125,,6.1
1727564864.6,6.811492919921875,,6.15
1727564864.65,6.642860412597656,,6.2
1727564864.7,6.5406646728515625,,6.25
1727564864.75,6.418022155761719,,6.3
1727564864.8,6.346481323242188,,6.35
1727564864.85,6.223838806152344,,6.4
1727564864.9,6.111419677734375,,6.45
1727564864.95,5.9606781005859375,,6.5
1727564865.0,5.93512725830078,,6.55
1727564865.05,5.958122253417969,,6.6
1727564865.1,5.968345642089844,,6.65
1727564865.15,5.986228942871094,,6.7
1727564865.2,6.0066680908203125,,6.75
1727564865.25,6.0424346923828125,,6.8
1727564865.3,6.01433563232422,,6.85
1727564865.35,5.832923889160156,,6.9
1727564865.4,5.725616455078125,,6.95
1727564865.45,5.769050598144531,,7.0
1727564865.5,5.871253967285156,,7.05
1727564865.55,6.057769775390625,,7.1
1727564865.6,6.211067199707031,,7.15
1727564865.65,6.3924713134765625,,7.2
1727564865.7,6.532997131347656,,7.25
1727564865.75,6.898361206054688,,7.3
1727564865.8,7.215179443359375,,7.35
1727564865.85,7.9101409912109375,,7.4
1727564865.9,8.630653381347656,,7.45
1727564865.95,9.80084228515625,,7.5
1727564866.0,10.375717163085938,,7.55
1727564866.05,10.9608154296875,,7.6
1727564866.1,11.223976135253906,,7.65
1727564866.15,11.505027770996094,,7.7
1727564866.2,11.755416870117188,,7.75
1727564866.25,12.18976593017578,,7.8
1727564866.3,12.366058349609377,,7.85
1727564866.35,12.391609191894531,,7.9
1727564866.4,12.217872619628906,,7.95
1727564866.45,11.78607940673828,,8.0
1727564866.5,11.49480438232422,,8.05
1727564866.55,11.149879455566406,,8.1
1727564866.6,10.97869873046875,,8.15
1727564866.65,10.75640869140625,,8.2
1727564866.7,10.64654541015625,,8.25
1727564866.75,10.467697143554688,,8.3
1727564866.8,10.27606964111328,,8.35
1727564866.85,9.9285888671875,,8.4
1727564866.9,9.667984008789062,,8.45
1727564866.95,9.261734008789062,,8.5
1727564867.0,9.049674987792969,17.094017028808594,8.55
1727564867.05,8.868263244628906,,8.6
1727564867.1,8.748184204101562,,8.65
1727564867.15,8.523338317871094,,8.7
1727564867.2,8.387924194335938,,8.75
1727564867.25,8.209075927734375,,8.8
1727564867.3,8.137535095214844,,8.85
1727564867.35,8.07110595703125,,8.9
1727564867.4,7.96379852294922,,8.95
1727564867.45,7.784950256347656,,9.0
1727564867.5,7.723625183105469,,9.05
1727564867.55,7.731292724609375,,9.1
1727564867.6,7.741508483886719,,9.15
1727564867.65,7.68785858154297,,9.2
1727564867.7,7.659751892089843,,9.25
1727564867.75,7.585655212402344,,9.3
1727564867.8,7.521781921386719,,9.35
1727564867.85,7.437469482421875,,9.4
1727564867.9,7.383811950683594,,9.45
1727564867.95,7.3173828125,,9.5
1727564868.0,7.2432861328125,,9.55
1727564868.05,7.11553955078125,,9.6
1727564868.1,7.087432861328125,,9.65
1727564868.15,7.102760314941406,,9.7
1727564868.2,7.097648620605469,,9.75
1727564868.25,7.010780334472656,,9.8
1727564868.3,6.9264678955078125,,9.85
