Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),time
1728077593.8,3.334136962890625,,0.0
1728077593.85,3.39801025390625,,0.05
1728077593.9,3.3366928100585938,,0.1
1728077593.95,3.134849548339844,,0.15
1728077594.0,2.9994354248046875,,0.2
1728077594.05,2.8129196166992188,,0.25
1728077594.1,2.697944641113281,,0.3
1728077594.15,2.595741271972656,,0.35
1728077594.2,2.62640380859375,,0.4
1728077594.25,2.912559509277344,,0.45
1728077594.3,3.21405029296875,,0.5
1728077594.35,3.6943893432617183,,0.55
1728077594.4,4.031654357910156,,0.6
1728077594.45,4.453224182128906,,0.65
1728077594.5,4.731719970703125,,0.7
1728077594.55,5.281044006347656,,0.75
1728077594.6,5.620864868164063,,0.8
1728077594.65,5.878913879394531,,0.85
1728077594.7,5.830375671386719,,0.9
1728077594.75,5.475227355957031,,0.95
1728077594.8,5.2606048583984375,,1.0
1728077594.85,5.038322448730469,,1.05
1728077594.9,4.826255798339844,,1.1
1728077594.95,4.511993408203125,,1.15
1728077595.0,4.432785034179688,,1.2
1728077595.05,4.486442565917969,,1.25
1728077595.1,4.57331085205078,,1.3
1728077595.15,4.657630920410156,,1.35
1728077595.2,4.76238250732422,,1.4
1728077595.25,5.08942413330078,,1.45
1728077595.3,5.212059020996094,,1.5
1728077595.35,5.010215759277344,,1.55
1728077595.4,4.716392517089844,,1.6
1728077595.45,4.471115112304688,,1.65
1728077595.5,4.5349884033203125,,1.7
1728077595.55,4.5707550048828125,,1.75
1728077595.6,4.4251251220703125,,1.8
1728077595.65,4.220718383789063,,1.85
1728077595.7,4.161956787109375,,1.9
1728077595.75,4.052093505859375,,1.95
1728077595.8,3.94989013671875,,2.0
1728077595.85,3.799148559570313,,2.05
1728077595.9,3.702056884765625,,2.1
1728077595.95,3.5717544555664062,,2.15
1728077596.0,3.4669952392578125,,2.2
1728077596.05,3.318809509277344,,2.25
1728077596.1,3.25238037109375,,2.3
1728077596.15,3.1297378540039062,,2.35
1728077596.2,3.022430419921875,,2.4
1728077596.25,2.864013671875,,2.45
1728077596.3,2.7848129272460938,,2.5
1728077596.35,2.705604553222656,,2.55
1728077596.4,2.6289596557617188,,2.6
1728077596.45,2.5114288330078125,,2.65
1728077596.5,2.4449996948242188,,2.7
1728077596.55,2.365791320800781,,2.75
1728077596.6,2.3198013305664062,,2.8
1728077596.65,2.25848388671875,,2.85
1728077596.7,2.2406005859375,,2.9
1728077596.75,2.286590576171875,,2.95
1728077596.8,2.4066696166992188,,3.0
1728077596.85,2.7183837890625,,3.05
1728077596.9,2.991767883300781,,3.1
1728077596.95,3.489990234375,,3.15
1728077597.0,3.7863693237304688,,3.2
1728077597.05,4.123634338378906,,3.25
1728077597.1,4.279487609863281,,3.3
1728077597.15,4.420013427734375,,3.35
1728077597.2,4.499214172363281,,3.4
1728077597.25,4.5579833984375,,3.45
1728077597.3,4.626968383789063,,3.5
1728077597.35,4.879913330078125,,3.55
1728077597.4,5.022994995117188,,3.6
1728077597.45,5.173736572265625,,3.65
1728077597.5,5.2708282470703125,,3.7
