Unnamed: 0,Data Set 1:Time(s),Data Set 1:Force(N),Data Set 1:Respiration Rate(bpm),Unnamed: 3,Unnamed: 4,Unnamed: 5,time
9359,1709759187.95,8.97813415527344,,,,,0.0
9360,1709759188.0,9.586219787597662,,,,,0.0499999523162841
9361,1709759188.05,9.650100708007807,,,,,0.0999999046325683
9362,1709759188.1,9.18764495849609,,,,,0.1499998569488525
9363,1709759188.15,8.58721923828125,,,,,0.2000000476837158
9364,1709759188.2,8.10942840576172,,,,,0.25
9365,1709759188.25,8.23973846435547,,,,,0.2999999523162842
9366,1709759188.3,8.426254272460941,,,,,0.3499999046325683
9367,1709759188.35,8.44924926757813,,,,,0.3999998569488525
9368,1709759188.4,8.293388366699219,,,,,0.4500000476837158
9369,1709759188.45,8.17586517333984,,,,,0.5
9370,1709759188.5,8.160530090332031,,,,,0.5499999523162842
9371,1709759188.55,8.23973846435547,,,,,0.5999999046325684
9372,1709759188.6,8.39303588867188,,,,,0.6499998569488525
9373,1709759188.65,8.40836334228516,,,,,0.7000000476837158
9374,1709759188.7,8.165641784667969,,,,,0.75
9375,1709759188.75,7.90758514404297,,,,,0.7999999523162842
9376,1709759188.8,7.5038986206054705,,,,,0.8499999046325684
9377,1709759188.85,7.376144409179689,,,,,0.8999998569488525
9378,1709759188.9,7.63931274414063,,,,,0.9500000476837158
9379,1709759188.95,7.96379852294922,,,,,1.0
9380,1709759189.0,8.38026428222656,,,,,1.0499999523162842
9381,1709759189.05,8.37004089355469,,,,,1.0999999046325684
9382,1709759189.1,7.905029296875,,,,,1.1499998569488523
9383,1709759189.15,7.70829772949219,,,,,1.2000000476837158
9384,1709759189.2,7.894813537597661,,,,,1.25
9385,1709759189.25,7.99700927734375,,,,,1.2999999523162842
9386,1709759189.3,7.843711853027341,,,,,1.3499999046325684
9387,1709759189.35,7.74917602539063,,,,,1.3999998569488523
9388,1709759189.4,7.64952850341797,,,,,1.4500000476837158
9389,1709759189.45,7.59076690673828,,,,,1.5
9390,1709759189.5,7.567771911621089,,,,,1.5499999523162842
9391,1709759189.55,7.5013427734375,,,,,1.5999999046325684
9392,1709759189.6,7.34293365478516,,,,,1.6499998569488523
9393,1709759189.65,7.24839782714844,,,,,1.7000000476837158
9394,1709759189.7,6.93157958984375,,,,,1.75
9395,1709759189.75,6.6173095703125,,,,,1.7999999523162842
9396,1709759189.8,6.26728057861328,,,,,1.8499999046325684
9397,1709759189.85,6.19318389892578,,,,,1.8999998569488523
9398,1709759189.9,6.13185882568359,,,,,1.950000047683716
9399,1709759189.95,5.98878479003906,,,,,2.0
9400,1709759190.0,5.947898864746089,50.0,,,,2.049999952316284
9401,1709759190.05,6.09098052978516,,,,,2.0999999046325684
9402,1709759190.1,6.30304718017578,,,,,2.1499998569488525
9403,1709759190.15,6.45378875732422,,,,,2.200000047683716
9404,1709759190.2,6.56365966796875,,,,,2.25
9405,1709759190.25,6.530441284179689,,,,,2.299999952316284
9406,1709759190.3,6.47933959960938,,,,,2.3499999046325684
9407,1709759190.35,6.464012145996089,,,,,2.3999998569488525
9408,1709759190.4,6.30560302734375,,,,,2.450000047683716
9409,1709759190.45,6.19062805175781,,,,,2.5
9410,1709759190.5,6.01688385009766,,,,,2.549999952316284
9411,1709759190.55,5.73583984375,,,,,2.5999999046325684
9412,1709759190.6,5.5518798828125,,,,,2.6499998569488525
9413,1709759190.65,5.705177307128911,,,,,2.700000047683716
9414,1709759190.7,5.838035583496089,,,,,2.75
9415,1709759190.75,5.7690505981445295,,,,,2.799999952316284
9416,1709759190.8,5.64896392822266,,,,,2.8499999046325684
9417,1709759190.85,5.60808563232422,,,,,2.8999998569488525
9418,1709759190.9,5.60042572021484,,,,,2.950000047683716
9419,1709759190.95,5.579978942871089,,,,,3.0
9420,1709759191.0,5.426681518554689,,,,,3.049999952316284
9421,1709759191.05,5.2963790893554705,,,,,3.0999999046325684
9422,1709759191.1,4.89268493652344,,,,,3.1499998569488525
9423,1709759191.15,4.59375,,,,,3.200000047683716
9424,1709759191.2,4.5554275512695295,,,,,3.25
9425,1709759191.25,4.68828582763672,,,,,3.299999952316284
9426,1709759191.3,5.12774658203125,,,,,3.3499999046325684
9427,1709759191.35,5.8073806762695295,,,,,3.3999998569488525
9428,1709759191.4,7.14619445800781,,,,,3.450000047683716
9429,1709759191.45,8.12220764160156,,,,,3.5
9430,1709759191.5,9.61432647705078,,,,,3.549999952316284
9431,1709759191.55,10.3629455566406,,,,,3.5999999046325684
9432,1709759191.6,10.5928955078125,,,,,3.649999856948853
9433,1709759191.65,10.1943130493164,,,,,3.700000047683716
9434,1709759191.7,9.48402404785156,,,,,3.75
9435,1709759191.75,9.27706909179688,,,,,3.799999952316284
9436,1709759191.8,9.16464996337891,,,,,3.849999904632568
9437,1709759191.85,8.80438995361328,,,,,3.899999856948853
9438,1709759191.9,8.30361175537109,,,,,3.950000047683716
9439,1709759191.95,8.38282012939453,,,,,4.0
9440,1709759192.0,8.24485015869141,,,,,4.049999952316284
9441,1709759192.05,7.86159515380859,,,,,4.099999904632568
9442,1709759192.1,7.634201049804689,,,,,4.1499998569488525
9443,1709759192.15,7.75428771972656,,,,,4.200000047683716
9444,1709759192.2,8.00978851318359,,,,,4.25
9445,1709759192.25,8.1273193359375,,,,,4.299999952316284
9446,1709759192.3,8.15797424316406,,,,,4.349999904632568
9447,1709759192.35,8.03533935546875,,,,,4.3999998569488525
9448,1709759192.4,7.784950256347661,,,,,4.450000047683716
9449,1709759192.45,7.73129272460938,,,,,4.5
